sample	padj	l2fc	N
1	wt_ctrl	0.05	0.5	5532
2	opt_ctrl	0.05	0.5	4282
3	opt_wt	0.05	0.5	3346
4	wt_gfp	0.05	0.5	4564
5	opt_gfp	0.05	0.5	2393
6	wt_ctrl	0.05	1	2202
7	opt_ctrl	0.05	1	1302
8	opt_wt	0.05	1	933
9	wt_gfp	0.05	1	1635
10	opt_gfp	0.05	1	627
11	wt_ctrl	0.05	2	200
12	opt_ctrl	0.05	2	92
13	opt_wt	0.05	2	55
14	wt_gfp	0.05	2	138
15	opt_gfp	0.05	2	33
16	wt_ctrl	0.01	0.5	4792
17	opt_ctrl	0.01	0.5	3621
18	opt_wt	0.01	0.5	2750
19	wt_gfp	0.01	0.5	3925
20	opt_gfp	0.01	0.5	1885
21	wt_ctrl	0.01	1	2030
22	opt_ctrl	0.01	1	1179
23	opt_wt	0.01	1	847
24	wt_gfp	0.01	1	1494
25	opt_gfp	0.01	1	546
26	wt_ctrl	0.01	2	200
27	opt_ctrl	0.01	2	92
28	opt_wt	0.01	2	55
29	wt_gfp	0.01	2	138
30	opt_gfp	0.01	2	33
31	wt_ctrl	0.005	0.5	4520
32	opt_ctrl	0.005	0.5	3348
33	opt_wt	0.005	0.5	2579
34	wt_gfp	0.005	0.5	3687
35	opt_gfp	0.005	0.5	1733
36	wt_ctrl	0.005	1	1941
37	opt_ctrl	0.005	1	1116
38	opt_wt	0.005	1	810
39	wt_gfp	0.005	1	1423
40	opt_gfp	0.005	1	514
41	wt_ctrl	0.005	2	200
42	opt_ctrl	0.005	2	92
43	opt_wt	0.005	2	55
44	wt_gfp	0.005	2	138
45	opt_gfp	0.005	2	33
46	wt_ctrl	0.001	0.5	3963
47	opt_ctrl	0.001	0.5	2801
48	opt_wt	0.001	0.5	2144
49	wt_gfp	0.001	0.5	3243
50	opt_gfp	0.001	0.5	1384
51	wt_ctrl	0.001	1	1772
52	opt_ctrl	0.001	1	991
53	opt_wt	0.001	1	714
54	wt_gfp	0.001	1	1285
55	opt_gfp	0.001	1	444
56	wt_ctrl	0.001	2	200
57	opt_ctrl	0.001	2	92
58	opt_wt	0.001	2	55
59	wt_gfp	0.001	2	138
60	opt_gfp	0.001	2	33
