	Row.names	Symbol	Gene.name	padj	log2FoldChange
1	ENSG00000247095	MIR210HG	MIR210 host gene	6.40762371811158e-24	-3.23097727447585
2	ENSG00000152256	PDK1	pyruvate dehydrogenase kinase 1	4.24390923175155e-28	-2.5913679178982
3	ENSG00000172201	ID4	inhibitor of DNA binding 4, HLH protein	9.69959741322341e-29	-2.58007669464167
4	ENSG00000127528	KLF2	Kruppel like factor 2	2.38218035692095e-44	-2.57909466462273
5	ENSG00000177409	SAMD9L	sterile alpha motif domain containing 9 like	1.29618993291664e-19	-2.48734216270428
6	ENSG00000265972	TXNIP	thioredoxin interacting protein	1.94718521719023e-10	-2.47386348091157
7	ENSG00000120937	NPPB	natriuretic peptide B	7.48429000282327e-29	-2.4442581889569
8	ENSG00000120693	SMAD9	SMAD family member 9	3.24551571322627e-11	-2.14266109714326
9	ENSG00000135480	KRT7	keratin 7	3.38476951472856e-42	-2.11814158666222
10	ENSG00000171848	RRM2	ribonucleotide reductase regulatory subunit M2	5.21545680440786e-08	-2.1029489009859
11	ENSG00000125772	GPCPD1	glycerophosphocholine phosphodiesterase 1	1.52768982182838e-10	-2.07621167231903
12	ENSG00000172508	CARNS1	carnosine synthase 1	1.199667647232e-09	-2.05246448089854
13	ENSG00000143847	PPFIA4	PTPRF interacting protein alpha 4	1.0790254244223e-06	-2.04521267704986
14	ENSG00000125968	ID1	inhibitor of DNA binding 1, HLH protein	2.89764854911731e-19	-1.94096512015309
15	ENSG00000136231	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	1.67796312672e-19	-1.92204739309972
16	ENSG00000198919	DZIP3	DAZ interacting zinc finger protein 3	5.10991217279647e-09	-1.8594304110357
17	ENSG00000120915	EPHX2	epoxide hydrolase 2	2.03928961769372e-08	-1.85895164202241
18	ENSG00000134245	WNT2B	Wnt family member 2B	1.32042088488048e-18	-1.83735397206676
19	ENSG00000169129	AFAP1L2	actin filament associated protein 1 like 2	2.81978946679041e-09	-1.83698688359994
20	ENSG00000109805	NCAPG	non-SMC condensin I complex subunit G	3.258057189228e-08	-1.82782165973861
21	ENSG00000131747	TOP2A	DNA topoisomerase II alpha	2.15627982124383e-10	-1.81677154119482
22	ENSG00000139410	SDSL	serine dehydratase like	6.27095628478256e-09	-1.7805323468123
23	ENSG00000101333	PLCB4	phospholipase C beta 4	4.89968174670454e-20	-1.77904484285676
24	ENSG00000067798	NAV3	neuron navigator 3	5.58798715104555e-28	-1.77867230797125
25	ENSG00000023445	BIRC3	baculoviral IAP repeat containing 3	1.26133359855704e-10	-1.77473497377872
26	ENSG00000119681	LTBP2	latent transforming growth factor beta binding protein 2	4.32814346092078e-46	-1.77048998642788
27	ENSG00000112984	KIF20A	kinesin family member 20A	7.24643179787316e-07	-1.74847583736674
28	ENSG00000140450	ARRDC4	arrestin domain containing 4	1.85190721884235e-10	-1.73344004746602
29	ENSG00000108854	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	1.09893812058676e-26	-1.72166549057192
30	ENSG00000137965	IFI44	interferon induced protein 44	3.56574394650137e-12	-1.71716142460841
31	ENSG00000170949	ZNF160	zinc finger protein 160	1.82944036897524e-10	-1.68353621103927
32	ENSG00000154678	PDE1C	phosphodiesterase 1C	5.59784267553694e-15	-1.67538925428923
33	ENSG00000136960	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	8.60961016572088e-20	-1.65634948058976
34	ENSG00000186088	GSAP	gamma-secretase activating protein	1.24449509913521e-09	-1.65186414458225
35	ENSG00000104381	GDAP1	ganglioside induced differentiation associated protein 1	8.87020734086195e-10	-1.64020254896642
36	ENSG00000214193	SH3D21	SH3 domain containing 21	1.11818048561448e-14	-1.62350585587549
37	ENSG00000123977	DAW1	dynein assembly factor with WD repeats 1	6.16072232536713e-14	-1.62331906960186
38	ENSG00000152952	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	2.04374737447003e-20	-1.59608695665574
39	ENSG00000011426	ANLN	anillin actin binding protein	4.84454488178892e-07	-1.59247634786828
40	ENSG00000162433	AK4	adenylate kinase 4	4.96971790093462e-18	-1.58965431195251
41	ENSG00000169607	CKAP2L	cytoskeleton associated protein 2 like	7.38522654308407e-07	-1.5877413754071
