	Row.names	Symbol	Gene.name	padj	log2FoldChange
1	ENSG00000180447	GAS1	growth arrest specific 1	5.2905528259923e-17	-2.88726646121985
2	ENSG00000167074	TEF	TEF transcription factor, PAR bZIP family member	5.09187674031109e-22	-2.48491139815326
3	ENSG00000136689	IL1RN	interleukin 1 receptor antagonist	1.43670982232329e-29	-2.46031274718825
4	ENSG00000272899	ATP6V1FNB	ATP6V1F neighbor	9.99291051197465e-20	-2.412042619419
5	ENSG00000049246	PER3	period circadian regulator 3	1.21040474804849e-15	-2.40397590882855
6	ENSG00000237596	LOC644135	uncharacterized LOC644135	2.11357491435038e-24	-2.34297285478151
7	ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	1.01377950936923e-26	-2.3185091919029
8	ENSG00000092068	SLC7A8	solute carrier family 7 member 8	4.30918630463126e-25	-2.29942009668403
9	ENSG00000173599	PC	pyruvate carboxylase	1.52202409345404e-29	-2.27695784285122
10	ENSG00000164379	FOXQ1	forkhead box Q1	6.8834425474106e-43	-2.25517140019919
11	ENSG00000105011	ASF1B	anti-silencing function 1B histone chaperone	4.90450478719138e-21	-2.24677493321485
12	ENSG00000261645	DISC1FP1	DISC1 fusion partner 1	1.54098504494996e-10	-2.22833304330129
13	ENSG00000227051	C14orf132	chromosome 14 open reading frame 132	1.09748944278014e-43	-2.22359167447762
14	ENSG00000107796	ACTA2	actin alpha 2, smooth muscle	3.7717971060574e-29	-2.20671024706009
15	ENSG00000101057	MYBL2	MYB proto-oncogene like 2	3.27493984246141e-14	-2.18220790724184
16	ENSG00000162105	SHANK2	SH3 and multiple ankyrin repeat domains 2	2.77876460605223e-09	-2.10305385949188
17	ENSG00000272142	LYRM4-AS1	LYRM4 antisense RNA 1	1.46897528983944e-06	-2.09719657648437
18	ENSG00000093009	CDC45	cell division cycle 45	2.82538445450502e-09	-2.06794240777845
19	ENSG00000203837	PNLIPRP3	pancreatic lipase related protein 3	1.46354128942341e-15	-2.06012802865615
20	ENSG00000133216	EPHB2	EPH receptor B2	3.57244973970476e-29	-2.05461215171838
21	ENSG00000154928	EPHB1	EPH receptor B1	1.62750991714528e-15	-2.04126860089365
22	ENSG00000135253	KCP	kielin cysteine rich BMP regulator	6.90766526609456e-24	-2.01408260249596
23	ENSG00000105516	DBP	D-box binding PAR bZIP transcription factor	1.72510940653131e-13	-2.0032000622003
24	ENSG00000127564	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	9.22130837654838e-13	-1.99338465882132
25	ENSG00000121104	FAM117A	family with sequence similarity 117 member A	1.59016893612786e-15	-1.99022568241775
26	ENSG00000156973	PDE6D	phosphodiesterase 6D	1.41650225097651e-14	-1.96576031677876
27	ENSG00000198768	APCDD1L	APC down-regulated 1 like	4.1242036224654e-15	-1.96356034140114
28	ENSG00000175643	RMI2	RecQ mediated genome instability 2	2.09345605731714e-09	-1.92751772562588
29	ENSG00000159208	CIART	circadian associated repressor of transcription	3.1231977132252e-07	-1.90984402599625
30	ENSG00000167900	TK1	thymidine kinase 1	2.88447501912075e-13	-1.88998260620483
31	ENSG00000228716	DHFR	dihydrofolate reductase	5.33991390411387e-07	-1.88253350210818
32	ENSG00000174669	SLC29A2	solute carrier family 29 member 2	6.82069217481108e-08	-1.87433287311444
33	ENSG00000075240	GRAMD4	GRAM domain containing 4	3.43040905172428e-17	-1.87225061798016
34	ENSG00000131153	GINS2	GINS complex subunit 2	1.61064474850748e-10	-1.86381128085501
35	ENSG00000167994	RAB3IL1	RAB3A interacting protein like 1	6.6919847780361e-15	-1.85747770627293
36	ENSG00000063241	ISOC2	isochorismatase domain containing 2	3.66516853800252e-17	-1.84748383588139
37	ENSG00000112902	SEMA5A	semaphorin 5A	6.03994678901351e-14	-1.84571622217376
38	ENSG00000122641	INHBA	inhibin subunit beta A	1.25771211025959e-15	-1.83723805279715
39	ENSG00000156253	RWDD2B	RWD domain containing 2B	2.08077206439213e-14	-1.83300306125161
40	ENSG00000223891	OSER1-DT	OSER1 divergent transcript	1.19760564017942e-06	-1.82491828304087
41	ENSG00000186409	CCDC30	coiled-coil domain containing 30	2.16461797393227e-10	-1.81415317595823
42	ENSG00000196584	XRCC2	X-ray repair cross complementing 2	1.49447511911262e-09	-1.81372782686225
43	ENSG00000215883	CYB5RL	cytochrome b5 reductase like	4.29794964774939e-09	-1.77474621842763
44	ENSG00000119711	ALDH6A1	aldehyde dehydrogenase 6 family member A1	2.89971561144018e-08	-1.76944284489456
45	ENSG00000182612	TSPAN10	tetraspanin 10	1.01442896810918e-23	-1.76889120785307
46	ENSG00000176890	TYMS	thymidylate synthetase	1.71318603229801e-15	-1.75268462887332
47	ENSG00000163395	IGFN1	immunoglobulin like and fibronectin type III domain containing 1	1.21909317978211e-10	-1.74500670859065
48	ENSG00000147536	GINS4	GINS complex subunit 4	1.17495842771089e-06	-1.74254443669818
49	ENSG00000012048	BRCA1	BRCA1 DNA repair associated	1.05266842936767e-06	-1.72267973327807
50	ENSG00000144354	CDCA7	cell division cycle associated 7	1.07129160677013e-06	-1.72181478691086
51	ENSG00000140854	KATNB1	katanin regulatory subunit B1	1.43411151488162e-21	-1.72023007036515
52	ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2	6.32825073016091e-11	-1.7197825338191
53	ENSG00000196611	MMP1	matrix metallopeptidase 1	1.11557153918782e-08	-1.68956282015443
54	ENSG00000119969	HELLS	helicase, lymphoid specific	1.93231723805888e-09	-1.68061113945891
55	ENSG00000146733	PSPH	phosphoserine phosphatase	1.29236317982223e-11	-1.67640070142074
56	ENSG00000092853	CLSPN	claspin	8.155424045866e-11	-1.66931314292659
57	ENSG00000159164	SV2A	synaptic vesicle glycoprotein 2A	6.09701054368093e-14	-1.65044148539564
58	ENSG00000065029	ZNF76	zinc finger protein 76	6.02255893970052e-16	-1.64364668079049
59	ENSG00000161277	THAP8	THAP domain containing 8	3.05447692059694e-07	-1.64235970861505
