	padj	log2FoldChange
ENST00000542838.6_DDX11-223	8.92641049104814e-05	-4.03684780162956
ENST00000525701.5_RNH1-210	0.00148719923023467	-1.7863159413776
ENST00000417382.5_HMG20B-204	0.000316401031390592	-3.80642936631709
ENST00000535731.1_LRP6-202	0.00359624915358062	-3.47143415668512
ENST00000519058.5_MOK-208	0.00224407482410576	-3.53131643063922
ENST00000677502.1_GSK3B-229	0.00216902100537291	-2.79118797955537
ENST00000379276.4_TMEM230-203	0.00027767501250742	-3.20297316995218
ENST00000547263.1_GCN1-202	0.00108682826485899	-1.77106984816603
ENST00000553400.1_DDX24-203	1.17092251697022e-16	-1.75376287540868
ENST00000569610.5_MON1B-210	0.000745850071490497	-2.79000190978858
ENST00000560299.1_SPG11-218	0.000456688969878068	-4.346267265332
ENST00000435723.1_MTPN-202	1.01029103801246e-05	-3.551462492321
ENST00000583213.1_TNFAIP1-206	0.000974107717667288	-3.72376341281602
ENST00000523102.5_SPSB2-204	0.00152195506417795	-2.71772541270472
ENST00000475342.5_STK16-207	0.00109166682527768	-3.5779294959686
ENST00000594139.5_KPTN-202	0.00252865920720532	-3.33658017392427
ENST00000644078.1_CYSTM1-205	0.0013063754676487	-3.27346606698872
ENST00000347839.10_KLC1-203	5.08716063583272e-07	-5.15956809507813
ENST00000525769.5_INTS11-228	0.00258139811543564	-2.95979566546129
ENST00000360383.7_CDC16-204	3.63114250659848e-07	-5.05520903677467
ENST00000509436.1_NDFIP1-204	4.5403336244477e-05	-3.99093092200442
ENST00000395806.5_MPRIP-203	0.000245709677575714	-3.9324403019241
ENST00000416334.5_NT5E-204	4.99939029733391e-05	-3.47197507477993
ENST00000553804.6_ITGA7-206	0.000171561868647087	-3.83511578177433
ENST00000509107.1_HNRNPD-207	0.00231353070786954	-3.33451306081997
ENST00000557001.5_FRMD6-214	0.000748091895387529	-3.70813318802969
ENST00000452476.5_LYAR-202	2.30089226037652e-05	-4.96272359110119
ENST00000678910.1_G3BP1-269	0.00143994449513847	-2.55062920588691
ENST00000325234.5_PLCB3-202	0.0027065313736547	-2.11065402819496
ENST00000280362.8_PTS-201	0.00135546477664574	-2.56683178207032
ENST00000610520.5_EEF1A1-211	0.00118117498412082	-3.61523110787184
ENST00000320307.8_TAGLN2-201	0.00258139811543564	-3.14029855987713
ENST00000626660.1_SQSTM1-216	2.34586688743059e-05	-1.98483524002548
ENST00000534149.6_CTSB-227	0.00148719923023467	-3.17240265824633
ENST00000476243.5_CENPV-203	0.000962624397029506	-2.61227167938572
ENST00000592515.1_UBXN6-209	0.00157422909902733	-3.15447636591111
ENST00000564824.5_ZNF598-205	0.000142160159461169	-4.49622380795336
ENST00000535296.5_SLC3A2-206	0.00214449450298891	-3.22710083322661
ENST00000675491.1_HINT1-214	4.82577342356253e-05	-3.45711906761157
ENST00000552173.5_DAZAP2-213	0.00223771784140539	-3.2782543236392
ENST00000486516.5_COMMD6-210	0.000100430018345442	-3.96943506277632
ENST00000478459.5_EPHB4-205	0.00302908192813293	-3.1820219945934
ENST00000567835.5_ADGRG1-254	0.00059558839702816	-2.28707500778131
ENST00000384919.1_MIR621-201	1.49990493335154e-06	-5.47753846113859
ENST00000576679.1_MCRIP1-211	1.14296248901645e-10	-6.21956837478517
ENST00000650049.2_ALG11-208	0.00342804475176527	-3.23384040354477
ENST00000689664.1_SNHG1-267	0.000125604523652492	-3.96007706790373
ENST00000519520.7_DERPC-202	0.00025534125575197	-3.32942978287925
ENST00000685880.1_ENST00000685880	0.000456688969878068	-4.01381430865901
