	padj	log2FoldChange
ENST00000597896.5_SIRT6-208	0.00288788436504446	3.6724705642031
ENST00000675051.1_GARS1-219	8.92641049104814e-05	3.47415989315554
ENST00000379883.3_RIGI-202	0.00288788436504446	3.23257584032205
ENST00000578985.5_IFT20-208	0.00108682826485899	3.66781768862855
ENST00000526577.5_ACCS-203	0.00475213121051316	3.37084859370005
ENST00000508319.1_HMGCS1-205	0.00402052315594001	3.03405898897603
ENST00000240123.12_SORBS3-201	8.24650647504733e-05	4.21956927027177
ENST00000378748.7_OPTN-203	0.00287546817288702	3.13969368903802
ENST00000552341.5_PFDN5-216	0.000245709677575714	3.69171950905056
ENST00000537526.6_USP22-206	0.00367996612757115	2.81194026378391
ENST00000621012.1_NRSN2-210	0.00118117498412082	3.10310156222724
ENST00000585898.1_ECSIT-205	0.00383961397826358	3.56003237956022
ENST00000399796.6_ATP6V1E1-202	0.0030656607654573	2.57461621645144
ENST00000488307.5_FPGS-216	0.000546237488937285	3.69084587539729
ENST00000528834.1_YAP1-206	0.00128674492113625	3.95452256411561
ENST00000495068.5_UNC45A-208	0.000114993611938539	3.85434570419117
ENST00000417352.5_COPS3-202	0.00286558611985669	3.58105100524188
ENST00000429800.6_ZNG1E-208	0.00483973656129879	2.76066105726632
ENST00000372040.9_GBGT1-203	0.00270440559759147	3.8233890792878
ENST00000420164.5_PIGF-204	2.63948743410326e-05	4.35351583951363
ENST00000310823.8_ADAM17-201	0.00108682826485899	2.80890390193136
ENST00000488594.5_GGPS1-206	0.00128990234858617	3.73649179937223
ENST00000611629.4_ACP6-207	0.00297155389439607	3.33632613098393
ENST00000672517.1_CFL2-208	0.000554639069586552	3.6335592654695
ENST00000678253.1_ADAM9-223	0.00108682826485899	1.91779071679356
ENST00000441722.5_ZFAS1-205	0.000543424150874192	2.50151344096344
ENST00000470543.1_HIGD1A-205	0.00423599000298016	2.91204454094087
ENST00000533130.1_HSF1-211	0.000107074234138283	4.06389907084872
ENST00000397071.5_DHRS4L2-202	1.62780119641544e-06	4.86576143564697
ENST00000567495.6_CLN3-227	0.00426189861236022	3.31782505290908
ENST00000399349.5_ITSN1-208	0.00483325115883706	3.02682541593705
ENST00000475210.1_DDOST-203	0.00182377423178748	3.52568175275626
ENST00000620711.1_ENST00000620711	0.0034113572033372	3.33697106606542
