	padj	log2FoldChange
ENST00000396887.7_IL32-204	0.000266829680309649	-3.4968224615198
ENST00000649909.1_TSPAN9-209	1.63270991492851e-05	-4.69430957243928
ENST00000554968.1_BTBD7-207	0.00478683291276855	-3.45951031923145
ENST00000697642.1_RAB27A-214	5.11865137551829e-05	-3.46955646032747
ENST00000533464.5_PHRF1-205	7.1633010261784e-09	-5.61047074572185
ENST00000519596.5_PABPC1-211	7.10618028303942e-15	-7.25497876515775
ENST00000673899.1_MLH1-231	0.00136471374139575	-3.69650518595889
ENST00000473886.2_GSK3B-203	0.00361714425135186	-3.00720352831368
ENST00000313104.9_RPLP0-202	1.87831245788531e-05	-1.69600548027126
ENST00000550697.6_MYL6-218	0.00393196657589568	-1.85345307774498
ENST00000568834.5_NUBP2-215	0.000497677328150638	-2.89163606218386
ENST00000700297.1_PSMD8-214	0.00104732482182334	-2.89265545036863
ENST00000589686.5_CIRBP-224	6.19864583640372e-09	-5.84379669396829
ENST00000560299.1_SPG11-218	0.000288858094464154	-4.2263017638461
ENST00000388798.7_SPAG1-202	0.0037627746213729	-2.99627558730023
ENST00000576510.5_NFKBIB-206	6.23261804466959e-06	-4.96125501213634
ENST00000599156.5_DDX49-208	2.8647384325892e-16	-1.59273265877942
ENST00000223095.5_SERPINE1-201	1.49605009732105e-05	-1.71068603084262
ENST00000576910.7_GOSR2-210	0.000248029617108825	-4.2365402636223
ENST00000585163.5_CDK5RAP3-237	0.00244628443811733	-3.08233053368737
ENST00000580485.1_C17orf75-205	0.00042838084088709	-3.501376935581
ENST00000578386.5_SMURF2-203	9.69675027390341e-08	-1.66286353585379
ENST00000538753.5_COPS7A-209	0.000777377338373734	-3.86705271315727
ENST00000264634.9_WNT5A-201	0.000188644224501622	-3.74576935265726
ENST00000424122.5_TTC31-204	1.87831245788531e-05	-4.1371818880661
ENST00000313695.11_ARHGEF2-202	0.00106668109227811	-2.80465431536104
ENST00000537428.2_NSUN4-209	0.00278665092619636	-3.20382408438525
ENST00000261978.9_LTBP2-201	0.000178811248576344	-1.62947821300454
ENST00000681581.1_ALG5-224	0.00060204394708204	-3.13086953902217
ENST00000376468.4_NPPB-201	0.000127982701700495	-1.80244515813187
ENST00000433667.5_ZMIZ2-205	1.97032552360164e-05	-4.54074183743811
