	symbol	padj	log2FoldChange
ENSG00000107159.14	CA9	9.69788282565452e-09	-2.26821856260755
ENSG00000113369.9	ARRDC3	2.40764701952288e-49	-2.41410442227472
ENSG00000120693.14	SMAD9	8.54258980944303e-14	-2.14315690348281
ENSG00000120937.9	NPPB	3.08423431437443e-30	-2.43922745701272
ENSG00000122884.13	P4HA1	1.99357417921617e-37	-2.08141427519095
ENSG00000125772.14	GPCPD1	3.56459201108728e-13	-2.07672998037717
ENSG00000127528.6	KLF2	5.01466200518193e-46	-2.58166506998295
ENSG00000135480.17	KRT7	1.62416803228922e-43	-2.11844331066717
ENSG00000143847.16	PPFIA4	1.31791702926117e-09	-2.0459986446832
ENSG00000152256.14	PDK1	6.57106190518761e-30	-2.59186870256202
ENSG00000153363.15	LINC00467	1.69212319144733e-08	-2.12185219043876
ENSG00000166432.16	ZMAT1	1.69212319144733e-08	-2.12749919989974
ENSG00000170379.21	TCAF2	1.93591028502551e-06	-2.14969056145948
ENSG00000171848.16	RRM2	8.16087323321678e-11	-2.10336025119133
ENSG00000172201.12	ID4	1.83135029032464e-30	-2.58028401737692
ENSG00000172508.11	CARNS1	2.51043652482518e-12	-2.0529396272175
ENSG00000177409.12	SAMD9L	6.56708622566291e-22	-2.49748134473531
ENSG00000247095.5	MIR210HG	4.06855293049612e-26	-3.25982980025671
ENSG00000254300.1	LINC01111	9.52181873167692e-07	-2.07102455800528
ENSG00000265972.6	TXNIP	4.43933451503116e-13	-2.47452257723245
