	symbol	padj	log2FoldChange
ENSG00000002079.14	MYH16	1.41084807868772e-14	2.19008171406216
ENSG00000004846.17	ABCB5	1.89684797401144e-49	3.40867315304598
ENSG00000023902.14	PLEKHO1	4.02805401208803e-36	2.10443187275255
ENSG00000025039.15	RRAGD	9.00663156098048e-26	2.01537585052055
ENSG00000040531.16	CTNS	2.03161572237921e-46	2.49338672311633
ENSG00000078804.13	TP53INP2	1.39517131229717e-13	2.02786028664
ENSG00000081181.8	ARG2	4.95800633342812e-14	2.42957449852846
ENSG00000090674.16	MCOLN1	5.1447560817674e-33	2.41746427002442
ENSG00000092068.21	SLC7A8	1.98881852118351e-18	2.06043605652265
ENSG00000103034.15	NDRG4	2.58393968732731e-49	2.64580054116406
ENSG00000104081.14	BMF	2.47795150182629e-09	2.24428522749962
ENSG00000107159.14	CA9	9.69788282565452e-09	-2.26821856260755
ENSG00000108821.14	COL1A1	4.13427307456745e-14	2.04923281056426
ENSG00000109819.9	PPARGC1A	8.79042791359913e-26	3.05087240814778
ENSG00000113369.9	ARRDC3	2.40764701952288e-49	-2.41410442227472
ENSG00000113552.16	GNPDA1	7.72068105690298e-60	2.07041121797908
ENSG00000120693.14	SMAD9	8.54258980944303e-14	-2.14315690348281
ENSG00000120937.9	NPPB	3.08423431437443e-30	-2.43922745701272
ENSG00000122877.18	EGR2	0.000391255799151777	2.12809287113768
ENSG00000122884.13	P4HA1	1.99357417921617e-37	-2.08141427519095
ENSG00000125772.14	GPCPD1	3.56459201108728e-13	-2.07672998037717
ENSG00000125845.7	BMP2	3.6189533820082e-35	2.03663135437344
ENSG00000127528.6	KLF2	5.01466200518193e-46	-2.58166506998295
ENSG00000135116.9	HRK	4.58473006195348e-39	2.78233162241912
ENSG00000135253.16	KCP	2.9657231277506e-17	2.54293480531355
ENSG00000135480.17	KRT7	1.62416803228922e-43	-2.11844331066717
ENSG00000136689.20	IL1RN	5.83548673051489e-46	4.02834844979634
ENSG00000136859.10	ANGPTL2	1.1708430122623e-38	2.30893636987014
ENSG00000136999.5	CCN3	5.19704107619962e-70	2.50144849967595
ENSG00000138316.11	ADAMTS14	4.55595385348961e-08	2.11430240135994
ENSG00000140465.15	CYP1A1	3.70147929356329e-21	2.51312363914266
ENSG00000143387.14	CTSK	2.03161572237921e-46	2.12346020401972
ENSG00000143507.18	DUSP10	5.01466200518193e-46	2.59710705512068
ENSG00000143847.16	PPFIA4	1.31791702926117e-09	-2.0459986446832
