	padj	log2FoldChange
ENST00000406935.5_ABCB5-203	4.32530977505391e-05	3.50554615713849
ENST00000443026.6_ABCB5-205	2.41625415777501e-09	3.66017284630998
ENST00000527585.5_FUZ-209	0.00179427504126578	3.27339419029973
ENST00000369415.9_RRAGD-202	1.10263610948286e-06	1.79480968785113
ENST00000492783.1_RRAGD-203	7.10666527047073e-05	1.97539829409863
ENST00000587109.5_GRN-207	3.15171570119867e-09	2.23568002743632
ENST00000488623.6_CTNS-206	0.00114288461807278	1.73436030614827
ENST00000673669.1_CTNS-211	0.00309626480037877	2.30058549930386
ENST00000571362.5_PHF23-205	0.00464825144858774	1.78819450150261
ENST00000525029.1_TTC17-205	2.67862069197317e-05	4.40387452084907
ENST00000469757.1_TRAPPC3-206	0.00233228497525353	1.98794792217037
ENST00000548849.5_CS-214	0.00376644273610323	2.63811440037898
ENST00000372459.7_CTSA-203	3.95179049375115e-06	1.69192354715382
ENST00000551277.1_NAV3-213	0.000608280170859516	2.89447192770329
ENST00000552192.5_SLC6A15-211	0.000856848846858326	1.80498464134576
ENST00000597896.5_SIRT6-208	0.00358433138046052	3.25006028322118
ENST00000538494.1_SP140-212	0.00296769721118351	1.77060950164
ENST00000261783.4_ARG2-201	0.000416286183613638	2.04498240904817
ENST00000199936.9_HSD17B2-201	2.63695467348116e-12	2.11566073386164
ENST00000599157.5_HSD17B14-204	0.00107100754970281	1.89972222998787
ENST00000264079.11_MCOLN1-201	2.871757769866e-05	1.63463473702719
ENST00000394321.9_MCOLN1-202	0.00344668842658732	3.30783847833418
ENST00000316902.12_SLC7A8-201	0.00140963013297845	2.2948650796067
ENST00000362057.4_WHRN-202	4.85811552834038e-07	1.62604844657185
ENST00000689129.1_SBF1-241	0.00277694598978513	2.66965111020377
ENST00000651891.1_MTHFD1-218	0.00308986744243473	3.50022825488163
ENST00000598984.5_SNRNP70-207	0.0026201164898482	2.65189836596682
ENST00000343373.10_DMPK-202	0.000805849866605294	3.26849783471863
ENST00000675051.1_GARS1-219	8.8193575614806e-05	3.04484686951595
ENST00000578985.5_IFT20-208	0.00228793358335038	3.12366928556504
ENST00000395938.7_PMP22-203	0.00042838084088709	1.67362235630599
ENST00000264867.7_PPARGC1A-201	0.000124872447995085	3.08516167926517
ENST00000612844.4_FOLR3-204	2.92942260668664e-05	1.85992933513426
ENST00000261318.5_SPRING1-201	4.71854797977462e-05	1.58026866039747
ENST00000396807.8_ING4-202	0.00280297800844007	2.52570889315158
ENST00000311337.11_GNPDA1-201	3.85714060726674e-18	1.62088268135587
ENST00000504424.1_GNPDA1-206	9.79390090093464e-12	2.32017474932988
ENST00000508177.5_GNPDA1-210	0.0010787969636486	1.78801276127685
ENST00000414729.1_RAB29-203	0.00277905446377307	1.73139735791261
ENST00000435514.3_ESYT2-203	0.00187477598195792	3.17850665431098
ENST00000497544.3_CTSD-206	0.00127259650996121	1.65614058929097
ENST00000637381.2_CTSD-210	1.92698702545899e-05	1.70588931051693
ENST00000678991.1_CTSD-216	0.00323743088262756	2.91566932560244
ENST00000240123.12_SORBS3-201	2.15166635282166e-05	4.15668694775851
ENST00000378748.7_OPTN-203	0.00376644273610323	2.72791427122152
ENST00000552341.5_PFDN5-216	9.98362835106646e-06	4.18850591477986
ENST00000621012.1_NRSN2-210	0.00051530013563438	3.04428529207632
ENST00000430077.6_SLC6A8-204	3.03790827241826e-13	2.13339564227581
ENST00000399796.6_ATP6V1E1-202	0.000139920697965546	3.20300597084237
ENST00000541630.5_RAN-210	0.000652828126813399	3.91370999623862
ENST00000525239.5_WDR74-204	0.00301402413287246	3.5759540438388
