	padj	log2FoldChange
ENST00000396887.7_IL32-204	9.47851546098615e-05	-3.58839067119047
ENST00000649909.1_TSPAN9-209	3.499319108386e-05	-4.27239150931292
ENST00000470393.1_DCBLD2-206	1.61048683250375e-05	-2.11822339561743
ENST00000552895.5_NAV3-215	6.40538393097045e-05	-2.34230260012854
ENST00000185150.9_ERLEC1-201	0.00379713508334349	-1.6222324521112
ENST00000682426.1_ABCC9-209	0.00211437183367868	-1.698318320073
ENST00000697642.1_RAB27A-214	2.73659833956177e-05	-3.4474283487527
ENST00000533464.5_PHRF1-205	1.14681286117521e-05	-3.89692751054427
ENST00000519596.5_PABPC1-211	2.60560938526394e-15	-7.26376493221722
ENST00000265729.7_SRI-201	0.00277466548329173	-1.76908237528854
ENST00000265361.8_SEMA3C-201	2.80361020793525e-11	-1.60962630632831
ENST00000005259.9_BCAP29-201	4.91571681280441e-05	-1.87036902203035
ENST00000673899.1_MLH1-231	0.000615447169372595	-3.71262367044665
ENST00000651849.1_TNS1-222	0.0021796788464483	-1.69390004724971
ENST00000471660.5_CHMP2B-203	0.00185864092239135	-2.88607178317648
ENST00000478147.1_GCKR-206	0.00471232519036667	-2.77338851588323
ENST00000678225.2_USP40-217	0.00117464552326788	-2.91591407367649
ENST00000584320.5_PSMC5-216	0.000308041836777414	-2.89811823457219
ENST00000547703.5_MYL6-208	0.000149687864669295	-1.88928738744083
ENST00000550697.6_MYL6-218	0.00127435414910186	-1.9037118697013
ENST00000568834.5_NUBP2-215	0.00309599918597724	-2.000564709625
ENST00000700297.1_PSMD8-214	5.20686969957733e-05	-3.54963370467686
ENST00000589686.5_CIRBP-224	5.67500278349895e-11	-6.57474156859834
ENST00000339486.8_RIOK3-201	3.3251731978635e-08	-1.78478500023718
ENST00000299167.12_PHKB-201	4.69089311583643e-06	-1.70120949775967
ENST00000566044.5_PHKB-208	1.39750619514156e-15	-1.63496597682715
ENST00000523384.1_ARMC1-205	0.00390923968651354	-2.70005823521334
ENST00000388798.7_SPAG1-202	0.00120492325373732	-3.11985868349745
ENST00000576510.5_NFKBIB-206	0.000145072944435102	-3.89874967337061
