	symbol	padj	log2FoldChange
ENSG00000004846.17	ABCB5	1.654251527189e-64	3.61437012162987
ENSG00000086696.11	HSD17B2	1.43168071742093e-31	2.0645028013137
ENSG00000103034.15	NDRG4	3.11978177076557e-41	2.15863422424942
ENSG00000104081.14	BMF	4.55575901575916e-10	2.13780899440812
ENSG00000109819.9	PPARGC1A	5.17769272839346e-32	3.11268009719592
ENSG00000114796.16	KLHL24	5.46138824373637e-18	2.10778248949116
ENSG00000122877.18	EGR2	9.20197345886867e-05	2.09229138467945
ENSG00000127528.6	KLF2	1.17657001105315e-39	-2.2525867648227
ENSG00000135116.9	HRK	8.50084421705653e-42	2.59190317370027
ENSG00000135253.16	KCP	9.38951539914421e-15	2.14640159942901
ENSG00000136689.20	IL1RN	2.13466037035307e-54	3.74932787120774
ENSG00000143507.18	DUSP10	1.3677352022928e-38	2.11751178142778
ENSG00000163884.4	KLF15	1.15627232764228e-11	2.62299315490604
ENSG00000165105.10	RASEF	8.15092397638136e-07	2.17265228716684
ENSG00000166046.11	TCP11L2	1.00234754130161e-15	2.12447541393667
ENSG00000166473.18	PKD1L2	6.8028984342255e-21	2.34963979179687
ENSG00000171848.16	RRM2	7.19487582662053e-13	-2.18059878557184
ENSG00000172201.12	ID4	9.51645819395747e-21	-2.01974002176351
ENSG00000180447.7	GAS1	6.70541598296934e-16	2.39991350512214
ENSG00000197355.11	UAP1L1	5.17769272839346e-32	2.03974014337235
ENSG00000203446.2	SUGCT-AS1	1.13953680546403e-09	2.15382701231571
ENSG00000203837.5	PNLIPRP3	7.22963657897445e-19	2.12610171324737
ENSG00000224312.1	NA	0.000180242140004392	2.10824343947508
ENSG00000225473.1	NA	6.66973145096341e-05	2.03261835962652
ENSG00000236829.9	RPL23AP5	5.42980050931144e-07	2.14286740772289
ENSG00000237596.7	PDE7B-AS1	1.38398780662533e-24	2.2359279443541
ENSG00000238164.6	NA	4.95292325545254e-09	2.44409692572114
ENSG00000241104.5	LOC284344	7.48726097693122e-07	2.16314897017994
ENSG00000247095.5	MIR210HG	2.52287791140032e-16	-2.43901677232154
ENSG00000258183.6	LINC02392	2.86577831140716e-12	2.75537866537743
ENSG00000268621.6	IGFL2-AS1	3.73294332433055e-17	3.1924462236473
ENSG00000268879.1	NA	3.56895600283625e-11	3.30262898099099
ENSG00000275216.2	NA	6.41135098660376e-15	2.26618562108674
