	padj	log2FoldChange
ENST00000439784.7_MYH16-203	0.000494295565839985	2.59448958890208
ENST00000406935.5_ABCB5-203	0.00271283356918615	2.60359056993422
ENST00000443026.6_ABCB5-205	4.35771280817884e-05	2.46017650640289
ENST00000341627.5_TNFRSF12A-202	1.39963120621973e-13	2.10607810470146
ENST00000680649.1_AKAP8L-230	0.00118665493815096	1.8188994999673
ENST00000612509.4_SEMA3B-211	0.00142240464403956	1.77740039995533
ENST00000542838.6_DDX11-223	7.88090056487079e-07	4.57925412649722
ENST00000525701.5_RNH1-210	8.30467698002474e-11	2.82221289868564
ENST00000369415.9_RRAGD-202	6.72636303056768e-07	1.75469167751099
ENST00000492783.1_RRAGD-203	3.13330225000659e-05	1.97106458828562
ENST00000359331.8_SLAMF7-201	0.00467608482946205	2.11788494858112
ENST00000587109.5_GRN-207	1.54961101399907e-09	2.20544049864451
ENST00000375153.8_SLC66A1-201	1.06285799244028e-08	1.72026680146065
ENST00000488623.6_CTNS-206	1.25443248666396e-05	2.08784290549706
ENST00000673669.1_CTNS-211	0.00320735236353789	2.16249762575427
ENST00000525029.1_TTC17-205	4.98454840124318e-06	4.55573706811547
ENST00000418740.5_MRPS24-203	2.9232094808091e-05	1.63984299793687
ENST00000600746.2_POLD1-210	0.00167280374597128	2.90169506728325
ENST00000372459.7_CTSA-203	3.91357926642319e-10	2.11885799948776
ENST00000678939.1_CTSA-236	0.00267879225770296	2.47793854905268
ENST00000417382.5_HMG20B-204	0.000170354818241076	3.42961743709304
ENST00000475800.5_SNX13-207	0.00418438628994227	2.42193016335699
ENST00000590550.6_MBD3-207	3.17388128864384e-05	1.68160520129396
ENST00000509451.1_EVC-203	1.14681286117521e-05	1.68110435202327
ENST00000367113.5_SYNJ2-203	0.000258161257173905	1.70526637461905
ENST00000652497.1_MLLT10-226	0.000178170112703354	2.14856858867699
ENST00000454350.5_UBE2D4-208	0.000918674991019353	1.70162209094959
ENST00000538494.1_SP140-212	0.00359995214743497	1.60833582061714
ENST00000160740.7_CIC-201	0.0012255557516643	2.06900747902075
ENST00000529464.5_FDFT1-215	0.0028806508709915	2.50056227666662
ENST00000519058.5_MOK-208	0.000136934590405087	3.84784139521288
ENST00000261783.4_ARG2-201	2.43108429055398e-05	2.25651502977255
ENST00000677502.1_GSK3B-229	0.000143050920170776	3.07566813690852
ENST00000523075.1_LYRM2-207	4.35142363129302e-05	3.29997892984907
ENST00000345598.9_APLP2-204	0.00336540820212145	2.408282454315
ENST00000199936.9_HSD17B2-201	8.90819097368472e-10	1.84497258788687
ENST00000599157.5_HSD17B14-204	0.000513143882216718	1.88831570148385
ENST00000379276.4_TMEM230-203	6.12090643295271e-05	3.07960979756486
ENST00000600231.5_GRAMD1A-212	0.000800752070328803	2.09839362148438
ENST00000553400.1_DDX24-203	8.90983920774838e-18	1.6911707445093
ENST00000264079.11_MCOLN1-201	5.35319150966851e-09	2.085041680703
ENST00000406520.7_COMT-205	0.00117576815572662	2.34695640525432
ENST00000368291.6_ECHDC1-203	0.00379713508334349	2.39487507769696
ENST00000434214.1_TMEM38B-203	7.54572499871098e-11	1.96707982252349
ENST00000362057.4_WHRN-202	5.96365140244634e-12	2.08319127317765
ENST00000282633.10_WASHC2A-201	7.61300484505046e-12	2.06917533279586
ENST00000215057.7_MZF1-201	0.000459780807970189	1.61691648440449
ENST00000418705.2_RANBP1-205	0.000537495949385463	2.45541232613534
ENST00000457657.5_ACIN1-205	0.000392945689614272	1.61622180826539
ENST00000482260.1_SUV39H1-204	0.0024342426801838	3.41006214526917
ENST00000648477.1_ACP5-211	4.83603873547082e-05	4.18377930454094
ENST00000338625.9_SLC25A15-201	0.000809497181536963	3.49659086584373
ENST00000571759.1_VAC14-212	7.62422025146598e-07	1.62234038832079
ENST00000545553.1_MON1B-203	0.00143014814212382	2.88313302256037
ENST00000569610.5_MON1B-210	0.00398434197511085	2.22736770600629
ENST00000483663.5_NPRL3-209	0.00348793769036526	2.26808690648104
ENST00000699948.1_CLCN7-215	8.69586064632567e-09	1.86329980409664
ENST00000566587.5_UBE2I-213	0.000359050533481751	1.79729581765185
ENST00000457779.6_STX4-203	0.00103783597289222	3.27588196896996
ENST00000676808.1_CTSH-229	9.50512353411455e-06	4.28230053683172
ENST00000318443.10_CD276-202	7.42748301484152e-13	1.85701467947928
ENST00000429861.5_RAB2A-203	0.00334829421325037	2.68634611103918
ENST00000682414.1_ERCC2-214	0.00191943627631597	2.98085591805274
ENST00000586608.3_PLEKHJ1-204	0.000183848470792798	2.92845919553918
ENST00000435723.1_MTPN-202	2.82369459028864e-06	3.39489704157992
ENST00000222990.8_SNX8-201	7.53184140828151e-08	1.61111408609782
ENST00000370228.2_TWNK-202	0.00182872747834474	2.61215653639244
ENST00000395938.7_PMP22-203	1.19082536216506e-09	2.52882308074418
ENST00000505239.1_MANBA-201	0.00338565358480369	2.88368538573001
ENST00000264867.7_PPARGC1A-201	0.000992458417481331	2.38681351025963
ENST00000612844.4_FOLR3-204	1.5288684944135e-09	2.45059053803227
ENST00000528492.1_NDUFS8-210	0.000648650146938316	2.17835128110813
ENST00000261318.5_SPRING1-201	1.00191228841629e-05	1.6255889671857
ENST00000523102.5_SPSB2-204	0.000137311193021564	2.91682605957562
ENST00000311337.11_GNPDA1-201	1.89291391646729e-25	1.89224428761109
ENST00000504424.1_GNPDA1-206	2.40747872419281e-18	2.97324926201882
ENST00000508177.5_GNPDA1-210	0.000834017288734637	1.69856735631209
ENST00000437202.2_HTRA2-203	1.58558181736797e-06	4.32528118131561
ENST00000461670.5_ATP6V0B-202	0.00144306794248751	2.79920954198051
