	padj	log2FoldChange
ENST00000494085.1_SLC25A13-208	0.00347271476822566	-3.03646055010628
ENST00000537110.1_TMEM132A-208	1.5662896011726e-06	-2.31077849099782
ENST00000543732.1_TMEM132A-212	3.6142334072902e-09	-2.53596385376003
ENST00000396887.7_IL32-204	0.00234814246564793	-2.69815324237233
ENST00000679638.1_AKAP8L-222	0.00157419938083049	-2.84457064995888
ENST00000592444.5_ERCC1-216	0.0022520810199738	-4.1553597642087
ENST00000704340.1_ZMYND11-225	0.00174071089673836	-2.29387450410754
ENST00000514931.5_RAI14-226	0.00103378876137406	-1.62374664039516
ENST00000533813.5_DKK3-213	0.00240129162207331	-3.06197086653283
ENST00000299240.10_TTC17-202	0.000361546539231391	-1.61925480881117
ENST00000533464.5_PHRF1-205	5.76047284492495e-07	-4.65274202424957
ENST00000519596.5_PABPC1-211	3.29614897282485e-14	-6.94310979420463
ENST00000579403.1_ALDH3A2-218	0.0035248927204653	-2.81597883426802
ENST00000579894.5_ACADVL-222	0.00436723688426386	-3.047666768045
ENST00000473886.2_GSK3B-203	0.00220068027536573	-3.03336373376581
ENST00000471660.5_CHMP2B-203	0.00216128688063964	-2.94600303251139
ENST00000452357.7_OAS1-203	0.00293389804891145	-4.1104977856198
ENST00000553152.2_OAS1-210	8.54220379929213e-05	-4.6750054802502
ENST00000675868.2_OAS1-212	0.000136627315591435	-4.35437812146005
ENST00000546630.1_MYL6-204	1.38571259332421e-06	-1.92156703049586
ENST00000700297.1_PSMD8-214	0.000197155039695465	-3.2633529214583
ENST00000591055.5_CIRBP-230	0.000238113549681644	-4.21073295329929
ENST00000353689.8_CCNB1IP1-201	0.00101208835373366	-3.57565126637199
ENST00000388798.7_SPAG1-202	0.00214186551673817	-3.04450829139517
ENST00000597793.5_PTOV1-209	2.62011382939047e-08	-2.35354520594706
ENST00000598632.5_PTOV1-211	0.00138893288372207	-1.74929728036024
ENST00000374313.5_PTGR1-203	8.63973749387559e-08	-2.74746297209311
ENST00000580485.1_C17orf75-205	0.000598306219082017	-3.28778609684451
ENST00000677468.1_CTSC-214	0.000185831657626253	-1.67318581965374
ENST00000307257.10_JHY-202	0.000589264464986234	-1.61501356544477
ENST00000550027.5_COPZ1-208	0.000639464078024726	-4.61202072930546
ENST00000646878.1_SLC29A1-220	0.0030050729934236	-2.12463423211922
ENST00000360597.8_MACROH2A1-203	0.00191198228635213	-4.27279439984493
ENST00000264634.9_WNT5A-201	0.000142376888204069	-3.71980119713473
ENST00000674645.1_TFG-212	0.00453124489313718	-2.37831763791575
ENST00000649979.2_IFIH1-206	4.79572064829891e-05	-2.01972257985522
ENST00000424122.5_TTC31-204	1.22855190885071e-05	-4.13199128632894
ENST00000320717.8_GLS-201	0.000238113549681644	-1.82704755318016
ENST00000313695.11_ARHGEF2-202	0.000142376888204069	-3.29197154093261
ENST00000370473.5_GBP1-201	1.543510723676e-05	-1.93150454967005
ENST00000537428.2_NSUN4-209	0.00221951179797882	-3.13357475617269
ENST00000367976.4_CCN2-201	9.40960477182773e-38	-2.57197833048997
ENST00000681581.1_ALG5-224	0.00379643502948961	-2.39259151781942
ENST00000506699.5_TGFBI-205	0.000156912869091661	-1.76104084288534
ENST00000557143.1_KLC1-222	0.000916609534890226	-2.05452619637912
ENST00000361157.11_IFI6-202	7.5159481485022e-21	-3.70570432274023
ENST00000248071.6_KLF2-201	0.000165920677577719	-1.68338005472915
ENST00000680513.1_AKAP9-226	0.00393136667090085	-2.51826684937636
ENST00000494286.5_MKLN1-208	0.00363236503800122	-2.99052305807447
ENST00000624709.1_EIF2AK4-211	0.00471587992512744	-2.19337188796009
ENST00000585898.1_ECSIT-205	8.54220379929213e-05	-4.3125054013179
ENST00000476946.2_AFDN-212	0.00486644654760678	-2.16476659532151
ENST00000467148.2_HELZ2-204	0.000574436086439414	-2.09534162578828
ENST00000621751.4_SLC6A6-208	3.21311535847103e-11	-4.11921116706832
ENST00000369646.7_NT5E-202	3.02806952516103e-05	-1.77892356983894
ENST00000546856.5_KRT7-203	1.75931835060902e-06	-2.2014562090948
ENST00000548088.1_KRT7-205	2.36991030255195e-05	-2.30462453618527
ENST00000551130.1_KRT7-210	0.000592327449037745	-1.89332979329732
ENST00000258157.9_KLHL36-201	4.76503314246726e-05	-4.4108570570567
ENST00000680295.1_IFI44L-215	0.00421684577583123	-3.26399877434253
ENST00000370747.9_IFI44-201	3.92616459889793e-12	-2.69537231634664
ENST00000472152.5_IFI44-206	9.1645110902244e-06	-5.19285876512091
ENST00000430186.5_SLC5A6-208	0.000634487507142551	-3.53565070062195
ENST00000264346.12_HERC6-201	0.000312578918643915	-2.94594316371455
ENST00000505117.5_CASP6-204	0.00390653785241608	-2.85920124915286
ENST00000555952.5_FRMD6-212	2.18722614671112e-05	-1.87031611962872
ENST00000565123.5_OSGIN1-206	0.000416555521312381	-3.41226879101878
ENST00000602522.1_GFOD2-205	0.00111905477186018	-2.42027034786669
ENST00000681748.1_IFITM3-226	0.00173255790249967	-2.4332627710823
ENST00000491287.1_PSMA5-205	2.23059436578306e-21	-1.62274753397565
ENST00000464824.2_ADAM15-213	0.000574436086439414	-1.95552498463125
ENST00000452476.5_LYAR-202	7.83534189891151e-05	-4.17712615168842
ENST00000488174.5_OGT-210	0.00276974845659103	-2.75463384071151
ENST00000703517.1_PLOD2-211	0.00358494272773731	-2.3172231749949
ENST00000531573.1_PCSK7-210	0.00097449405123809	-3.98108736394604
ENST00000368474.9_ADAR-202	0.000115736450833294	-3.49025858114337
ENST00000518219.5_MRNIP-204	6.17603231607208e-09	-2.59877291310234
ENST00000521675.1_MRNIP-217	2.02231721182869e-10	-3.41967216770181
ENST00000294623.8_FUBP1-201	4.9573392542016e-07	-1.62978534473125
ENST00000703600.1_FUBP1-215	0.000352580197882755	-1.83147679751352
ENST00000367173.7_NFASC-202	0.00475892371861106	-3.2470619566566
