	symbol	padj	log2FoldChange
ENSG00000089127.15	OAS1	4.98099956657278e-18	-3.76870735215067
ENSG00000111331.14	OAS3	1.8341936895893e-27	-3.11818138502418
ENSG00000118523.6	CCN2	2.32101969881859e-71	-2.56080366199606
ENSG00000126709.16	IFI6	5.61236415922257e-28	-3.35023454011109
ENSG00000130518.18	IQCN	5.81350794517608e-08	-2.04897682797362
ENSG00000131471.7	AOC3	1.16471539381287e-05	-2.20254478474866
ENSG00000134321.13	RSAD2	2.38785799878659e-08	-3.50819955231884
ENSG00000137959.17	IFI44L	1.2508460349404e-25	-3.01676229452497
ENSG00000137965.11	IFI44	1.73230927293912e-52	-3.02858973226955
ENSG00000138642.16	HERC6	5.4741583965963e-16	-2.34418681001968
ENSG00000157601.15	MX1	4.22910416211369e-15	-2.40676526835332
ENSG00000163840.10	DTX3L	6.96691460253107e-81	-2.09048249973944
ENSG00000167772.12	ANGPTL4	3.66804630955515e-47	-2.37891020290366
ENSG00000168298.7	H1-4	2.90602066298774e-10	-2.05866476595857
ENSG00000174059.17	CD34	6.70230441050475e-05	-2.18178835149519
ENSG00000177409.12	SAMD9L	1.83738754982781e-16	-2.04814409113087
ENSG00000184697.7	CLDN6	2.46211318727161e-08	-2.67835341327103
ENSG00000184979.11	USP18	1.89804772069025e-06	-2.20102821079094
ENSG00000185507.21	IRF7	5.40906643847457e-57	-2.64612297812985
ENSG00000185745.10	IFIT1	1.07307159663706e-150	-4.51302672644263
ENSG00000186594.16	MIR22HG	6.50534066325082e-44	-2.00601427516302
ENSG00000187608.10	ISG15	8.42181966296658e-109	-3.68978201534109
ENSG00000196196.3	HRCT1	1.78187886802775e-07	-2.34548508985046
ENSG00000205413.8	SAMD9	4.12929082000069e-23	-2.02247783082373
ENSG00000254842.6	NA	4.80910335818576e-13	-2.6401489597478
ENSG00000257671.1	KRT7-AS	1.38385273257457e-11	-2.12552800806756
ENSG00000289117.2	NA	1.65318853956919e-07	-2.53385361983274
