	symbol	padj	log2FoldChange
ENSG00000049246.15	PER3	8.30895309622777e-18	2.40498249056036
ENSG00000069424.16	KCNAB2	2.61133186458646e-28	2.31888355775262
ENSG00000089127.15	OAS1	4.98099956657278e-18	-3.76870735215067
ENSG00000092068.21	SLC7A8	1.16851584229859e-27	2.34137061721637
ENSG00000093009.11	CDC45	7.45909245684626e-12	2.06941590179365
ENSG00000101057.16	MYBL2	1.77349512904691e-16	2.18338617396449
ENSG00000105011.9	ASF1B	9.07993491942285e-23	2.24442061085344
ENSG00000105516.11	DBP	8.25629199005585e-16	2.00429922129472
ENSG00000107796.13	ACTA2	9.57233123547565e-31	2.2078491859137
ENSG00000111331.14	OAS3	1.8341936895893e-27	-3.11818138502418
ENSG00000118523.6	CCN2	2.32101969881859e-71	-2.56080366199606
ENSG00000126709.16	IFI6	5.61236415922257e-28	-3.35023454011109
ENSG00000130518.18	IQCN	5.81350794517608e-08	-2.04897682797362
ENSG00000131471.7	AOC3	1.16471539381287e-05	-2.20254478474866
ENSG00000133216.17	EPHB2	9.57233123547565e-31	2.05606064523567
ENSG00000134321.13	RSAD2	2.38785799878659e-08	-3.50819955231884
ENSG00000136689.20	IL1RN	5.57617090303495e-31	2.45861845194951
ENSG00000137959.17	IFI44L	1.2508460349404e-25	-3.01676229452497
ENSG00000137965.11	IFI44	1.73230927293912e-52	-3.02858973226955
ENSG00000138642.16	HERC6	5.4741583965963e-16	-2.34418681001968
ENSG00000140057.9	AK7	1.66488227634595e-07	2.10456001097499
ENSG00000147485.13	PXDNL	8.74112300465198e-06	2.18923173898123
ENSG00000154928.19	EPHB1	2.84775885482476e-17	2.06405236906589
ENSG00000157601.15	MX1	4.22910416211369e-15	-2.40676526835332
ENSG00000162105.21	SHANK2	8.27622145881973e-12	2.08514699975468
ENSG00000163840.10	DTX3L	6.96691460253107e-81	-2.09048249973944
ENSG00000164379.7	FOXQ1	6.50534066325082e-44	2.25571185674946
ENSG00000167074.15	TEF	1.28347422836063e-23	2.46930489365386
ENSG00000167772.12	ANGPTL4	3.66804630955515e-47	-2.37891020290366
ENSG00000168298.7	H1-4	2.90602066298774e-10	-2.05866476595857
ENSG00000173599.15	PC	4.32891237053321e-31	2.27813313270873
ENSG00000174059.17	CD34	6.70230441050475e-05	-2.18178835149519
ENSG00000177409.12	SAMD9L	1.83738754982781e-16	-2.04814409113087
ENSG00000180447.7	GAS1	4.19508226928478e-19	2.88888622137298
ENSG00000184697.7	CLDN6	2.46211318727161e-08	-2.67835341327103
ENSG00000184979.11	USP18	1.89804772069025e-06	-2.20102821079094
ENSG00000185507.21	IRF7	5.40906643847457e-57	-2.64612297812985
ENSG00000185532.20	PRKG1	8.51228993053789e-07	2.02875757081932
ENSG00000185745.10	IFIT1	1.07307159663706e-150	-4.51302672644263
ENSG00000186594.16	MIR22HG	6.50534066325082e-44	-2.00601427516302
ENSG00000187479.9	C11orf96	3.93350986792952e-06	2.17221586148801
ENSG00000187608.10	ISG15	8.42181966296658e-109	-3.68978201534109
ENSG00000196196.3	HRCT1	1.78187886802775e-07	-2.34548508985046
ENSG00000203837.5	PNLIPRP3	9.84099471052252e-18	2.06107011416684
ENSG00000205413.8	SAMD9	4.12929082000069e-23	-2.02247783082373
ENSG00000224397.9	PELATON	3.79843027822455e-05	2.06477537870645
ENSG00000227051.7	C14orf132	1.67007182557198e-44	2.21853371660179
ENSG00000231672.8	NA	1.4939770710427e-05	2.00874326682963
ENSG00000237596.7	PDE7B-AS1	3.7279897002598e-26	2.34743134592976
ENSG00000254842.6	NA	4.80910335818576e-13	-2.6401489597478
ENSG00000257671.1	KRT7-AS	1.38385273257457e-11	-2.12552800806756
ENSG00000258183.6	LINC02392	1.51923732722361e-08	2.07718031548528
ENSG00000261645.7	DISC1FP1	4.76841869424386e-13	2.2298706609598
ENSG00000272142.4	LYRM4-AS1	2.33107692509349e-09	2.09897720683307
ENSG00000289117.2	NA	1.65318853956919e-07	-2.53385361983274
