	padj	log2FoldChange
ENST00000007708.7_PDK2-201	0.00237128595053858	2.19707671723516
ENST00000358607.11_REX1BD-201	1.46778999249271e-07	1.72108009700616
ENST00000519807.5_RPS20-205	0.000455571959483612	1.81877624468064
ENST00000678683.1_RPS20-216	0.000142376888204069	1.76166211276075
ENST00000451578.6_LDAF1-203	0.0016190072362179	2.8565176077784
ENST00000263650.12_OSBPL5-201	0.00158223685886358	2.92172777400953
ENST00000533222.5_CD44-236	0.00240332189428018	2.17901098852617
ENST00000368043.8_SLAMF7-203	3.251412197957e-13	1.63695633110008
ENST00000398755.8_PARP3-201	1.84453852766526e-08	5.25539639858426
ENST00000680640.1_HSPA5-209	0.00339865629746882	2.8806151619206
ENST00000503849.5_NOP16-203	0.000305874356568605	3.39585631126888
ENST00000503868.5_PTCD2-207	0.00472108633268447	3.14905612734443
ENST00000593597.1_USE1-202	0.0014009973267183	1.9624768398522
ENST00000228027.12_DGAT2-201	0.00314823730663541	2.35482156292218
ENST00000425675.7_ISOC2-202	2.25447086321184e-12	2.20875818358037
ENST00000524614.1_SPA17-202	0.00173649025184252	2.1050548049241
ENST00000407360.7_RFXANK-203	0.00471252723037125	1.82143848173483
ENST00000598863.1_SUGP2-212	0.000892322890123425	2.01686472504439
ENST00000437813.8_TNFRSF1A-203	0.000537153765565544	3.41460437343385
ENST00000322910.9_ACADVL-201	0.00126073794150039	2.32266693638082
ENST00000361034.7_GRAMD4-201	3.38067237262866e-05	2.41992637211274
ENST00000221233.9_EXOSC5-201	3.89188877018559e-05	1.63846242865718
ENST00000597896.5_SIRT6-208	0.0024690694232383	3.23755457633644
ENST00000691169.1_KIF22-229	0.00431254918842506	2.72695887416944
ENST00000590237.1_KEAP1-205	0.000410336517815897	3.2845012923002
ENST00000522874.5_MOK-226	0.000180083539331676	3.48661230616023
ENST00000199936.9_HSD17B2-201	2.19892299361445e-07	1.62217711651945
ENST00000618486.4_LTBP4-236	0.00314543675688286	2.76451012903252
ENST00000316902.12_SLC7A8-201	0.000418350246938126	2.41781227755053
ENST00000422941.6_SLC7A8-204	0.000170867145203391	3.28519236233359
ENST00000555883.5_HNRNPC-220	4.88859199498937e-05	2.80629367682501
ENST00000263201.7_CDC45-201	1.05433659636656e-05	4.03520392988639
ENST00000454591.6_ECHDC1-209	0.000314370720405993	3.20367911644503
ENST00000590704.5_CIRBP-229	0.00460365248775443	2.34782489432176
ENST00000406855.7_DERL3-204	0.00371546078666226	2.84427801807605
ENST00000416523.5_SEC14L2-204	0.000214321656184038	3.6671338519623
ENST00000216014.9_KDELR3-201	0.000698342502238778	1.90929455809083
ENST00000416905.1_MCM5-203	0.00352344846089057	1.92643663110578
ENST00000397224.9_FOXRED2-204	8.42082349957334e-06	2.01263093389784
ENST00000433985.7_IFT27-205	5.17227003808126e-06	1.69410581033348
ENST00000251993.11_KIAA0930-201	0.00351172840715242	1.73657164926963
ENST00000402077.8_KCTD17-201	0.00194637477178082	1.68098351124309
ENST00000651891.1_MTHFD1-218	0.00216128688063964	3.48729738739191
ENST00000477732.5_NDUFAF5-210	0.000480833263661801	3.33629470244669
ENST00000483674.3_TAFAZZIN-209	0.000899854596770345	3.34800227106941
ENST00000520893.5_CDK16-216	0.00355418080587568	2.8652194659748
ENST00000491568.6_ARMCX3-206	0.000112635599903753	3.77249723292497
ENST00000561561.6_HAGHL-206	0.00475892371861106	3.16906467336087
ENST00000540068.6_CORO2B-202	0.000189751758040359	2.88839385890419
ENST00000262580.9_GSDMD-201	0.000507289432965474	2.16438579048022
ENST00000433751.5_PYCR3-203	0.00332567888624491	3.29351086921758
ENST00000221486.6_RNASEH2A-201	3.6411914873181e-05	1.76784732900775
ENST00000263382.8_ASF1B-201	0.000304310840010771	2.36863583049036
ENST00000409587.5_PLD3-206	1.43447837501257e-06	4.4586876511401
ENST00000594085.5_PLD3-216	5.50351467303246e-09	2.33944074939222
ENST00000700637.1_PLD3-246	6.34861513563125e-07	2.14629506422743
ENST00000585746.1_TBCB-205	9.53472167553169e-08	4.94409545511654
ENST00000449228.5_BBC3-204	8.01402645380068e-05	1.64760640334959
ENST00000222122.10_DBP-201	2.39832945704873e-05	2.30508993537764
ENST00000594658.5_CRTC1-203	0.000207811014353618	1.97126138303391
ENST00000496906.1_RGP1-202	6.71877629200615e-06	3.57273480616294
ENST00000224784.10_ACTA2-201	7.24849088512127e-20	2.50866430993626
ENST00000415557.1_ACTA2-202	2.33089052495909e-12	2.96701773150416
ENST00000481034.1_GLRX3-203	0.00255531676969614	1.60770095973593
ENST00000261499.11_B9D1-201	0.00028986590272255	1.99740602492247
ENST00000225823.7_ASIC2-201	0.00225257051758709	2.08638556212468
ENST00000474374.5_ELP4-204	0.00238493906351004	2.33630703178334
ENST00000263578.10_FOXRED1-201	2.3931999373481e-07	3.7005239770955
ENST00000534775.1_PTPMT1-205	8.54220379929213e-05	1.87903789277288
ENST00000544176.1_MAGOHB-207	0.000454349659168886	1.80717725375941
ENST00000638262.1_EPM2A-208	0.00340120153377057	2.82285242902037
ENST00000488034.6_CUTA-210	3.8299384294081e-07	4.50348928615756
ENST00000371755.9_SLC29A1-206	0.000237304287613984	2.33198128242007
ENST00000511896.5_APBB3-219	8.78019839036912e-05	4.25521247716867
ENST00000417652.6_NCL-203	2.27731746659702e-07	4.71742252469908
ENST00000593052.5_RPS15-212	0.000269692730627056	3.39159501405385
