	padj	log2FoldChange
ENST00000547706.1_RPAP3-204	0.00317876241009089	-1.66539558140063
ENST00000409857.7_GCFC2-202	0.00176596777115486	-1.93472706186885
ENST00000471036.1_IBTK-204	0.00400019093498688	-2.06270483335646
ENST00000358607.11_REX1BD-201	3.7544596134568e-11	-2.06356347604334
ENST00000450195.6_REX1BD-202	0.00207913261464182	-2.25232876617597
ENST00000006658.11_SPATA20-201	0.00129062943904482	-2.9200766337739
ENST00000342456.11_ALDH3B1-201	3.91047704215553e-13	-2.09993738497384
ENST00000682895.1_POMT2-237	0.00139850800767993	-2.67358009801184
ENST00000649909.1_TSPAN9-209	6.94136663825291e-06	-4.6712286736058
ENST00000265748.7_ANLN-201	0.000159599750364011	-2.58436313945493
ENST00000451578.6_LDAF1-203	0.000173071438236062	-3.2023882864888
ENST00000589381.5_ERCC1-210	0.000966821000724316	-2.31274806238975
ENST00000263650.12_OSBPL5-201	1.35289930582429e-05	-4.09243565504405
ENST00000533222.5_CD44-236	0.000113963201745502	-3.0321369518572
ENST00000468889.5_TFB1M-203	0.000677526791914843	-2.3659214991601
ENST00000460307.1_FAM136A-205	0.00444653296860369	-2.0360346193832
ENST00000398755.8_PARP3-201	2.11665430176652e-07	-4.6634718078882
ENST00000692002.1_CUL7-219	0.000410391189031131	-2.30637331343273
ENST00000680640.1_HSPA5-209	0.00205041255464482	-2.89589753334995
ENST00000503849.5_NOP16-203	0.000605641708574314	-3.0315956118479
ENST00000503868.5_PTCD2-207	0.00213962154517829	-3.2658645333545
ENST00000401088.9_SZRD1-201	3.6889391866886e-05	-1.59951272301637
ENST00000520313.5_FAM114A2-210	0.00316561903111284	-2.26588230064717
ENST00000620254.5_CYFIP2-222	0.00035799217624365	-1.8471894555825
ENST00000326857.9_DCBLD2-202	0.00337622827580831	-1.65854343593074
ENST00000452171.5_ACAA1-210	0.00117657422643049	-1.58383187303227
ENST00000228027.12_DGAT2-201	0.000284083390485749	-2.67822369920235
ENST00000425675.7_ISOC2-202	8.78141130441821e-19	-2.68484849322336
ENST00000696085.1_CASP8-223	0.0040989794933706	-2.54085995255311
ENST00000313860.11_LIMCH1-201	0.00328950943338841	-2.96418609029213
ENST00000524614.1_SPA17-202	6.95422979945654e-05	-2.45758212437514
ENST00000407360.7_RFXANK-203	9.24979637904986e-05	-2.25350794986706
ENST00000484800.6_MCM10-206	0.00193285124048041	-2.84611701719237
ENST00000437813.8_TNFRSF1A-203	0.00074900558628204	-3.16551777313427
ENST00000378567.8_PRKCZ-201	2.384326002826e-07	-2.0507214744393
