	symbol	padj	log2FoldChange
ENSG00000003147.19	ICA1	3.07092182361761e-08	-2.46645042301127
ENSG00000005189.20	REXO5	1.07176324398155e-07	-2.00350418990176
ENSG00000007968.7	E2F2	1.07903151227208e-10	-2.60529000397185
ENSG00000012048.24	BRCA1	4.08171864801579e-26	-3.08253194849771
ENSG00000021762.20	OSBPL5	2.05058889479414e-16	-2.0200677819322
ENSG00000021826.18	CPS1	2.58306906422468e-15	-2.14264758699253
ENSG00000049246.15	PER3	2.10316982555509e-25	-3.00965691266263
ENSG00000051180.17	RAD51	1.09419081565824e-08	-2.14020308280549
ENSG00000065328.17	MCM10	1.2680484508892e-19	-2.54315992972871
ENSG00000068784.13	SRBD1	7.6898268294804e-11	-2.05757993489942
ENSG00000069424.16	KCNAB2	2.44032333547243e-27	-2.43156605709253
ENSG00000071909.19	MYO3B	1.84307915537334e-10	-2.05473508809471
ENSG00000072571.20	HMMR	5.32136679070211e-14	-2.24961401288445
ENSG00000076003.5	MCM6	4.40335969960669e-38	-2.9053601426622
ENSG00000076242.16	MLH1	3.08413203280881e-32	-2.04877257858454
ENSG00000083123.15	BCKDHB	1.9843102319638e-24	-2.38300827636502
ENSG00000092853.14	CLSPN	1.00410982387368e-35	-2.95719748685767
ENSG00000093009.11	CDC45	2.10151745098937e-23	-3.12451360125914
ENSG00000100196.11	KDELR3	1.0678701573357e-11	-2.03777786500533
ENSG00000100479.14	POLE2	5.02041688229113e-11	-2.25729526944908
ENSG00000101057.16	MYBL2	2.34378004308113e-28	-3.04213470201967
ENSG00000101311.17	FERMT1	2.94601690713202e-07	-2.41933221832996
ENSG00000101333.19	PLCB4	8.9533089214529e-28	-2.05177977585091
ENSG00000101868.13	POLA1	3.03877442546606e-15	-2.01515581182325
ENSG00000103021.10	CCDC113	2.67378544115017e-13	-2.10571110568491
ENSG00000104381.14	GDAP1	1.89637671801045e-27	-2.6969266658327
ENSG00000105011.9	ASF1B	1.18108057798318e-29	-2.71776334594563
ENSG00000105486.15	LIG1	1.94966735252551e-19	-2.0050794646937
ENSG00000106688.12	SLC1A1	1.94006643025778e-13	-2.15606106810366
ENSG00000106823.13	ECM2	3.92539319812703e-05	-2.21734117865037
ENSG00000107159.14	CA9	1.30239221957577e-09	-2.41042760989722
ENSG00000107719.10	PALD1	2.18289372957933e-13	-2.3638366008252
ENSG00000107796.13	ACTA2	3.7888449738764e-29	-2.27669123491506
ENSG00000108439.11	PNPO	1.10163421841048e-40	-2.17259140230197
ENSG00000108641.20	B9D1	1.81685073572526e-23	-2.13988922569861
ENSG00000108924.14	HLF	4.30843910740722e-16	-2.69806617022001
ENSG00000109674.4	NEIL3	5.58142334844785e-08	-2.12990798874696
ENSG00000109805.10	NCAPG	2.1749555174261e-14	-2.16796847442089
ENSG00000111247.15	RAD51AP1	6.59456428536905e-13	-2.81408664016556
ENSG00000113790.11	EHHADH	1.76812162314022e-20	-2.8628022835358
ENSG00000116984.15	MTR	2.08074555312823e-20	-2.02416308235899
ENSG00000119227.8	PIGZ	1.01658040623196e-10	-2.07868397869553
ENSG00000119969.16	HELLS	3.86601637116316e-26	-2.61424803288731
ENSG00000120693.14	SMAD9	3.13917275326835e-14	-2.20578577045616
ENSG00000120915.14	EPHX2	2.0797914247705e-16	-2.37921185001081
ENSG00000123977.10	DAW1	4.67585316666216e-26	-2.17740527230426
ENSG00000124212.6	PTGIS	1.37854372054495e-39	-2.19209118192521
ENSG00000125772.14	GPCPD1	4.40847531350253e-18	-2.61243018929823
ENSG00000127564.17	PKMYT1	2.66037095216076e-25	-2.72975091698057
ENSG00000127946.17	HIP1	4.39887454932146e-19	-2.07808703427753
ENSG00000128833.13	MYO5C	5.96131022849775e-17	-2.32328965452924
ENSG00000131153.9	GINS2	9.64207404925604e-18	-2.31964309769217
ENSG00000132326.13	PER2	2.24000950213489e-10	-2.59966965452099
ENSG00000135049.16	AGTPBP1	1.8138579855892e-28	-2.24268020008107
ENSG00000135336.16	ORC3	1.21483858176007e-22	-2.04321167195144
ENSG00000136492.10	BRIP1	2.24478872183296e-13	-2.78014898706667
ENSG00000136628.18	EPRS1	2.65437135264717e-45	-2.02246155549621
ENSG00000137310.13	TCF19	8.33175640098138e-23	-2.31709162253864
ENSG00000137691.13	CFAP300	1.8404175305699e-13	-2.27293908149441
ENSG00000138180.16	CEP55	1.6827692575612e-19	-2.35073065626249
ENSG00000139410.15	SDSL	8.53974132099013e-22	-2.65723096668558
ENSG00000139618.18	BRCA2	4.51812641525795e-10	-2.26253453883473
ENSG00000140525.20	FANCI	4.19669490422917e-14	-2.10315882870906
