	padj	log2FoldChange
ENST00000514990.1_PLXND1-216	0.00465075880991191	2.0546997300007
ENST00000443026.6_ABCB5-205	0.000383584845927934	2.33798614963309
ENST00000505612.1_ITGA3-206	0.00126919739090768	1.62604781035235
ENST00000537110.1_TMEM132A-208	5.34584011747738e-06	2.15669012405529
ENST00000543732.1_TMEM132A-212	0.000125865824041088	1.67374030228007
ENST00000341627.5_TNFRSF12A-202	5.71329683533928e-14	2.12275639819694
ENST00000575477.5_PAFAH1B1-210	0.00353269527586871	3.07827310364892
ENST00000609078.1_PAFAH1B1-212	0.00426016657100204	2.42356724267071
ENST00000493647.1_RHBDF1-211	0.00210238847127674	1.83295018550625
ENST00000462957.1_PSMB1-202	0.00364178704968106	2.04914821811231
ENST00000421070.1_LYPLA2-207	0.00493827315073916	1.61330469914343
ENST00000680649.1_AKAP8L-230	0.000277988948409895	1.97242816604539
ENST00000589165.5_ERCC1-208	0.00273573696950604	2.11573785301837
ENST00000592444.5_ERCC1-216	0.00144347440313555	4.1529383884306
ENST00000612509.4_SEMA3B-211	0.00245102462204856	1.63653656816776
ENST00000704340.1_ZMYND11-225	4.56138216417586e-06	3.4025390774264
ENST00000472970.1_CYP24A1-205	0.00402860180882147	2.74878905228275
ENST00000369124.5_PLEKHO1-201	3.40670471828895e-05	1.90830765439396
ENST00000587109.5_GRN-207	4.51411948480772e-07	1.9232282634854
ENST00000426837.6_MAP4-207	0.000240197786675193	2.83797976194793
ENST00000514705.5_TSPAN17-208	0.00152467999034731	2.3191711051482
ENST00000533813.5_DKK3-213	0.00156585533478131	3.06063222892489
ENST00000525029.1_TTC17-205	5.78254340870778e-08	5.59725137946782
ENST00000469757.1_TRAPPC3-206	3.33468805978888e-05	3.05192162704676
ENST00000544622.4_YBX3-216	0.000279457291294064	1.85847918445861
ENST00000548849.5_CS-214	0.000104870584333432	3.49821222328012
ENST00000413284.5_SP100-207	2.93232457298122e-06	2.77843021060279
ENST00000551277.1_NAV3-213	1.86490085890195e-08	4.20720951572339
ENST00000491831.5_AFF4-209	0.00348971257585456	2.33978493054456
ENST00000509451.1_EVC-203	4.72769397738934e-10	2.15573991197212
ENST00000514919.1_EVC-204	4.90447772353499e-23	2.3582009113143
ENST00000489867.2_ENO1-205	1.00109213514886e-05	2.90470943837855
ENST00000410075.5_ZNF638-204	6.67552270462094e-05	2.17132182302171
ENST00000367113.5_SYNJ2-203	4.69709232523528e-06	1.96806852392953
ENST00000527085.1_TOLLIP-204	1.21517470208929e-05	2.7694650665949
ENST00000529464.5_FDFT1-215	0.00276753810704426	2.60691941984706
ENST00000261783.4_ARG2-201	0.000500118700983587	1.92576649673208
ENST00000374941.9_RRAGB-202	0.000100521271943621	1.75649286510063
ENST00000346329.7_CTTN-202	4.64446204052747e-05	1.64651536616254
ENST00000267339.6_ANKRD10-201	0.000783716310395764	1.80491248101856
ENST00000549989.1_DYNLL1-207	4.05767363817509e-05	2.4367312350722
ENST00000553152.2_OAS1-210	0.000292664349844797	3.51202646439884
ENST00000675868.2_OAS1-212	3.22902900210067e-05	4.82148828913174
ENST00000394321.9_MCOLN1-202	0.00410630483479288	3.00074990104786
ENST00000557033.1_HNRNPC-227	0.000428497640551533	2.28061160714134
ENST00000557768.1_HNRNPC-232	0.00164297169482284	1.95414211227903
ENST00000368291.6_ECHDC1-203	0.00117713483052769	2.95777270983611
ENST00000362057.4_WHRN-202	6.58054300127977e-08	1.67390734886761
ENST00000673811.1_WHRN-206	1.17437470538151e-05	3.27193676374478
