	symbol	padj	log2FoldChange
ENSG00000002079.14	MYH16	4.98952796473969e-14	2.13051226309112
ENSG00000023902.14	PLEKHO1	1.21312228728622e-49	2.47518345917869
ENSG00000081181.8	ARG2	5.33148494944793e-11	2.09473905936663
ENSG00000089127.15	OAS1	6.69583924914299e-14	3.46850134506399
ENSG00000095397.17	WHRN	9.82770798643027e-67	2.26670170795011
ENSG00000104081.14	BMF	2.90973512159371e-08	2.05547926049524
ENSG00000111331.14	OAS3	1.30338256157017e-15	2.52847672671154
ENSG00000116701.16	NCF2	1.21684967506693e-32	2.76930520961494
ENSG00000119917.15	IFIT3	3.53253419473935e-33	2.06611547183559
ENSG00000124635.9	H2BC11	2.31914019274924e-07	2.1069993328658
ENSG00000126709.16	IFI6	1.18446444649675e-19	3.04492608975367
ENSG00000127578.7	WFIKKN1	4.87081806060928e-05	2.26592394613976
ENSG00000130518.18	IQCN	9.67693500818894e-09	2.44519045366732
ENSG00000131471.7	AOC3	2.52575822851289e-05	2.74425871371848
ENSG00000131480.9	AOC2	1.80747152785525e-06	2.39291281628492
ENSG00000134321.13	RSAD2	1.13804168252475e-05	3.09405487875227
ENSG00000135378.4	PRRG4	2.33274387291455e-07	2.01389818687297
ENSG00000135899.20	SP110	1.18356616408229e-38	2.05221032500579
ENSG00000136383.7	ALPK3	3.1608607957133e-07	2.34563144848831
ENSG00000137959.17	IFI44L	1.0379907904033e-17	2.6253138958001
ENSG00000139874.6	SSTR1	2.61238938849024e-12	2.15743513130631
ENSG00000140465.15	CYP1A1	4.0893407274062e-29	2.97339236194265
ENSG00000146242.9	TPBG	9.96486048054618e-47	2.53284764139035
ENSG00000148082.10	SHC3	5.50848276796024e-14	2.42732915075178
ENSG00000157601.15	MX1	5.16725020069256e-15	2.73550081544083
ENSG00000158373.9	H2BC5	1.69686720243045e-34	3.38923338317809
ENSG00000166922.9	SCG5	5.35741029242943e-06	2.08769180825259
ENSG00000168298.7	H1-4	1.83028171797236e-14	3.31338933886899
ENSG00000170390.16	DCLK2	2.85700203117348e-22	2.29345368023868
ENSG00000174059.17	CD34	0.000287937700574733	2.14512309265153
ENSG00000176170.14	SPHK1	7.61516845346375e-47	2.36506537183415
ENSG00000177234.7	LINC01561	1.27120307145018e-15	2.00683635570573
ENSG00000178035.13	IMPDH2	3.72554114414179e-21	2.01282857608107
ENSG00000178573.7	MAF	1.9281735552198e-22	2.63362540824576
ENSG00000180573.10	H2AC6	3.12646327520639e-46	2.8550348988884
ENSG00000180596.8	H2BC4	6.28705014987169e-11	2.63807789316599
ENSG00000182108.11	DEXI	3.06256684741632e-10	2.03073916924495
ENSG00000182795.13	C1orf116	1.31357259097809e-07	2.12731660038574
ENSG00000182836.10	PLCXD3	3.09848598109794e-05	2.13788483392575
ENSG00000183691.6	NOG	6.09817077280955e-15	2.16360514404602
ENSG00000184678.11	H2BC21	2.5939155346896e-17	2.36754006706495
ENSG00000184697.7	CLDN6	3.50224523340662e-07	2.65611099809459
ENSG00000185507.21	IRF7	9.66704850245129e-57	3.04255869834987
ENSG00000185745.10	IFIT1	2.19537721533919e-122	4.92940552013528
ENSG00000187608.10	ISG15	1.65822967889299e-94	3.91482426767293
ENSG00000188313.13	PLSCR1	3.68323050233129e-47	2.07346746201507
ENSG00000196154.12	S100A4	1.99762211525514e-06	2.01816820371231
ENSG00000213144.2	NA	1.02728545756696e-13	2.31171382582075
ENSG00000213638.6	ADAT3	2.83211469101791e-14	2.06187970020327
ENSG00000213694.7	S1PR3	1.92925966731849e-09	2.19506089291809
ENSG00000223855.4	PDGFA-DT	1.61703956124074e-06	2.47102061627557
ENSG00000225190.12	PLEKHM1	1.03953615987425e-51	2.03801165092446
ENSG00000232533.3	NA	4.56902947266048e-37	2.33979446447811
ENSG00000243742.6	RPLP0P2	4.80411349911935e-11	2.20261663964071
ENSG00000244242.2	IFITM10	1.29468188692342e-17	3.62944052524615
ENSG00000254842.6	NA	8.32186739301404e-09	2.17292009166453
ENSG00000261924.1	LOC400627	5.29807781019723e-05	2.04414670619147
ENSG00000267898.1	NA	6.54590581717182e-05	2.54552279946327
ENSG00000268621.6	IGFL2-AS1	1.28679035843036e-16	3.2141879906909
ENSG00000268879.1	NA	2.82086651594801e-06	3.40395850699717
ENSG00000273802.3	H2BC8	9.3586305347147e-06	2.12250462876955
ENSG00000275216.2	NA	5.72702008041614e-24	3.09699116462524
ENSG00000276966.3	H4C5	5.45148343331883e-05	2.10249768303146
ENSG00000279641.1	NA	1.826281523114e-06	3.10152282160884
ENSG00000280351.2	NA	5.75242281745115e-07	2.39842846742962
ENSG00000285872.3	LOC101929691	0.000659445933007772	2.02150378617634
ENSG00000288559.1	NA	2.48407517622476e-08	2.3462597720304
ENSG00000289117.2	NA	2.87870311181482e-05	3.18777591094032
