	padj	log2FoldChange
ENST00000233156.9_TFPI-201	8.75341858905018e-08	-2.33659402545859
ENST00000409857.7_GCFC2-202	0.000177540224099667	-2.15987204610558
ENST00000471036.1_IBTK-204	0.000293611301853994	-2.39859109099412
ENST00000358607.11_REX1BD-201	2.65064641827063e-08	-1.74787887580385
ENST00000006658.11_SPATA20-201	0.000380768418902517	-3.08862842264394
ENST00000342456.11_ALDH3B1-201	6.32877753779986e-15	-2.19994981014378
ENST00000682895.1_POMT2-237	0.00124112515638638	-2.57403681524336
ENST00000649909.1_TSPAN9-209	2.02710822203333e-05	-4.24931061047944
ENST00000265748.7_ANLN-201	1.145276650471e-05	-2.85325994991081
ENST00000451578.6_LDAF1-203	0.000240541474882298	-3.0492079516902
ENST00000340192.11_ERCC1-203	0.000799092876794257	-1.61969888972224
ENST00000589381.5_ERCC1-210	0.00291756538125606	-1.76274311680632
ENST00000369278.5_UFL1-201	1.19846665550746e-08	-1.754703101374
ENST00000264451.12_SLC30A9-201	6.18693247974091e-06	-1.64774059256236
ENST00000497381.1_COX15-203	0.00227390457112733	-2.22601935312175
ENST00000264167.11_AGPS-201	6.56175891200021e-05	-1.76392380807115
ENST00000263650.12_OSBPL5-201	7.80597000767906e-07	-4.6469082673583
ENST00000428559.7_DERA-201	5.22920237526647e-05	-1.65793602605152
ENST00000552306.1_VEZT-235	0.00336998932353794	-2.51139930010076
ENST00000468889.5_TFB1M-203	4.81590721189351e-06	-2.94219605533262
ENST00000398755.8_PARP3-201	3.0135088185945e-08	-4.93966089963597
ENST00000265348.9_CUL7-201	0.00397751473439925	-1.83264734168442
ENST00000692002.1_CUL7-219	0.000465183148165952	-2.22052750190498
ENST00000680640.1_HSPA5-209	6.23083591276655e-05	-3.81997213251917
ENST00000503849.5_NOP16-203	0.0029841184678813	-2.36365628870732
ENST00000503868.5_PTCD2-207	0.00187935583420873	-3.16825104635295
ENST00000366541.8_SDCCAG8-201	8.46913444485878e-07	-1.87716189278518
ENST00000476722.6_SDCCAG8-205	0.00142690529634525	-1.75070464717613
ENST00000401088.9_SZRD1-201	1.13388908673645e-05	-1.64413029537726
ENST00000520313.5_FAM114A2-210	0.00139441819032982	-2.33503888994367
ENST00000620254.5_CYFIP2-222	0.000115147844174618	-1.90966345536391
ENST00000484746.1_ATP2B4-206	0.00019362220878834	-1.62868696143753
ENST00000452171.5_ACAA1-210	0.000756198495715115	-1.58023506503618
ENST00000228027.12_DGAT2-201	0.00388259123690229	-2.15500105419523
ENST00000425675.7_ISOC2-202	1.67631565681303e-12	-2.16683426319041
ENST00000313860.11_LIMCH1-201	0.00127729967285578	-3.14961773662757
ENST00000227135.7_SPA17-201	0.00396056326555884	-2.05894779165263
ENST00000524614.1_SPA17-202	6.40010939567676e-05	-2.39987526736564
ENST00000407360.7_RFXANK-203	0.000129679135608408	-2.15911070994879
ENST00000394053.7_MTHFD2-201	0.00438153656798241	-1.74150645286789
ENST00000470592.5_MTHFD2-205	4.20198429422056e-06	-2.016499483288
ENST00000437813.8_TNFRSF1A-203	0.000101587299253597	-3.62010787284169
ENST00000378567.8_PRKCZ-201	1.53921532636951e-06	-1.88996803520811
ENST00000397909.7_NAV3-201	0.00347087883949415	-2.03133316279205
ENST00000552895.5_NAV3-215	0.00230596816081509	-1.72631748734498
ENST00000263736.5_SRBD1-201	0.000104663144710217	-2.34361671453511
ENST00000676271.1_KIF2A-220	0.00297360296720769	-1.91745605411983
ENST00000367142.5_NUCKS1-201	6.099503577928e-11	-1.63201230704125
ENST00000336787.6_RAB27A-201	0.000480556330830523	-1.64895685897178
ENST00000557726.1_RDH11-211	0.0026693356495996	-2.67791905859023
ENST00000265729.7_SRI-201	0.000101628278715157	-2.10907372094135
ENST00000265361.8_SEMA3C-201	9.08309701255761e-19	-2.13702870849431
