	symbol	padj	log2FoldChange
ENSG00000003147.19	ICA1	3.370012115204e-07	-2.21581762839578
ENSG00000005189.20	REXO5	1.31375226993294e-08	-2.06326032345016
ENSG00000007968.7	E2F2	3.07964875749497e-14	-3.08418573456339
ENSG00000012048.24	BRCA1	7.15767024656761e-20	-2.54553279222853
ENSG00000021762.20	OSBPL5	3.15536215706516e-18	-2.01581240926842
ENSG00000049246.15	PER3	3.43039521644766e-25	-2.88272244647583
ENSG00000051180.17	RAD51	9.23473370835065e-11	-2.36477674175927
ENSG00000062282.15	DGAT2	2.61678476437777e-09	-2.19356574703209
ENSG00000063241.8	ISOC2	1.53418887874479e-27	-2.20526341172148
ENSG00000065328.17	MCM10	2.85007675426878e-24	-2.70693272896221
ENSG00000069424.16	KCNAB2	3.39253819212209e-31	-2.42898731561061
ENSG00000076003.5	MCM6	4.23378799296819e-38	-2.7065083873789
ENSG00000076248.12	UNG	3.28395891853485e-42	-2.302395456352
ENSG00000085840.13	ORC1	1.25053549011328e-19	-2.15964126421073
ENSG00000092853.14	CLSPN	1.52886621254141e-33	-2.67520232602686
ENSG00000093009.11	CDC45	3.41669722601604e-29	-3.39680218845174
ENSG00000094804.12	CDC6	5.56999147021432e-31	-2.1138730326629
ENSG00000100196.11	KDELR3	4.39370759339971e-14	-2.12835915115547
ENSG00000100297.16	MCM5	1.47165147518252e-29	-2.13512861824502
ENSG00000100479.14	POLE2	1.69493322623255e-12	-2.35158135364181
ENSG00000101057.16	MYBL2	6.88966851818211e-41	-3.51588888420225
ENSG00000101311.17	FERMT1	1.36763040315501e-07	-2.50320888773686
ENSG00000103021.10	CCDC113	1.3136905800476e-13	-2.02532970091292
ENSG00000104381.14	GDAP1	2.20717749021824e-20	-2.17809426064369
ENSG00000104524.14	PYCR3	3.5705122721512e-37	-2.30523293146305
ENSG00000105011.9	ASF1B	6.4985068602631e-41	-3.01342642829015
ENSG00000105486.15	LIG1	2.60206021218026e-27	-2.23462027651232
ENSG00000106823.13	ECM2	0.000117434899764667	-2.03801388899062
ENSG00000107719.10	PALD1	3.69763446109681e-14	-2.33758384885734
ENSG00000107796.13	ACTA2	3.06342466269427e-39	-2.48624242978256
ENSG00000108439.11	PNPO	2.9570773649836e-52	-2.27339018863573
ENSG00000108641.20	B9D1	1.40376586733452e-28	-2.19947104002552
ENSG00000108924.14	HLF	4.04235714686218e-19	-2.88876918404517
ENSG00000109674.4	NEIL3	6.81572669312891e-08	-2.06812688836087
ENSG00000111247.15	RAD51AP1	1.14542939125261e-12	-2.70173768995083
ENSG00000113790.11	EHHADH	1.01102521704986e-12	-2.11414252162525
ENSG00000119227.8	PIGZ	6.03677636503408e-11	-2.01875285964698
ENSG00000119969.16	HELLS	1.46554760136875e-23	-2.32127150207118
ENSG00000120915.14	EPHX2	4.02973324940001e-14	-2.08534586418832
ENSG00000124212.6	PTGIS	3.63510028048413e-44	-2.11438726154871
ENSG00000127564.17	PKMYT1	4.59307350834846e-34	-3.02796311771287
ENSG00000127946.17	HIP1	1.74348698623257e-22	-2.08703240283949
ENSG00000131153.9	GINS2	1.14566099618599e-25	-2.64671010525094
ENSG00000132326.13	PER2	4.00782551315177e-11	-2.67897780517645
ENSG00000136492.10	BRIP1	1.32752926916795e-09	-2.21225155669116
ENSG00000137310.13	TCF19	3.14508896350997e-31	-2.54371089747336
ENSG00000139410.15	SDSL	1.35561550394323e-20	-2.43877980666931
ENSG00000143476.18	DTL	1.49241583444622e-34	-2.59405033594457
ENSG00000144354.15	CDCA7	1.71715219125656e-24	-2.83867988000579
ENSG00000145362.21	ANK2	2.8806920807283e-19	-2.3299519176713
ENSG00000145882.11	PCYOX1L	1.43704575572728e-15	-2.57453532743634
ENSG00000147536.12	GINS4	4.43232671053852e-21	-2.67264203512083
ENSG00000148219.18	ASTN2	5.65786421585966e-17	-2.76192161375957
ENSG00000149256.16	TENM4	1.41889097882123e-38	-2.19581157971353
ENSG00000151725.12	CENPU	3.71788087886795e-15	-2.58629505298127
ENSG00000152253.9	SPC25	2.02309073502761e-06	-2.25567899391022
ENSG00000153044.10	CENPH	2.1564945390332e-10	-2.13099885305624
ENSG00000153363.15	LINC00467	1.14602102676595e-09	-2.38056381798521
ENSG00000154920.15	EME1	1.36191054468091e-10	-2.14795889838676
ENSG00000156253.7	RWDD2B	2.97094851433777e-33	-2.5844868339381
ENSG00000156398.13	SFXN2	1.48705784620401e-24	-2.19933282064631
ENSG00000159259.8	CHAF1B	8.51665853758463e-21	-2.09699336778905
ENSG00000163704.13	PRRT3	4.91038338539179e-12	-2.14004921108317
ENSG00000166803.14	PCLAF	2.02594934442144e-09	-2.49042076182401
ENSG00000166816.15	LDHD	1.91027271796098e-07	-2.1086013819212
ENSG00000167074.15	TEF	8.14817497635347e-22	-2.35977991479494
ENSG00000167900.12	TK1	1.15154714351005e-38	-2.9958215809845
ENSG00000171320.15	ESCO2	4.32788469460485e-09	-2.29030622151029
ENSG00000171848.16	RRM2	9.2994373105934e-36	-3.9217249234642
ENSG00000174371.17	EXO1	1.96035643314172e-19	-2.8890646044909
ENSG00000175567.11	UCP2	7.49270471933598e-56	-2.33152868346554
ENSG00000175643.10	RMI2	1.51618933476381e-13	-2.04578847084125
ENSG00000176890.16	TYMS	7.20306764389582e-37	-2.51518780530118
ENSG00000182054.10	IDH2	3.5552397364998e-23	-2.0789064945314
ENSG00000183048.12	SLC25A10	1.8201816007828e-15	-2.13741536683463
ENSG00000184164.15	CRELD2	7.44757632878551e-46	-2.49102424895373
ENSG00000187720.15	THSD4	1.61153884068884e-19	-2.062150737234
ENSG00000189057.11	FAM111B	3.98993151044893e-10	-2.21517676559651
ENSG00000196584.4	XRCC2	3.59478898951149e-20	-2.35467286934592
ENSG00000197299.13	BLM	1.89118671828034e-08	-2.05844402843236
ENSG00000197565.17	COL4A6	2.88905896469043e-11	-2.36055080561443
ENSG00000198056.16	PRIM1	2.66171423668791e-13	-2.51250012185045
ENSG00000198768.11	APCDD1L	2.73497143229196e-18	-2.01029098604603
ENSG00000198919.13	DZIP3	5.62965225211332e-15	-2.30843033793177
ENSG00000214050.8	FBXO16	5.40816364843997e-06	-2.11871740457675
ENSG00000228716.7	DHFR	5.55069743745649e-18	-2.6385100477614
ENSG00000229953.1	NA	1.67647220363207e-11	-2.23655216061104
ENSG00000234494.8	SP2-AS1	1.24044680724945e-10	-2.52012273634452
ENSG00000248587.8	NA	0.0001213090984447	-2.07931237124583
ENSG00000265972.6	TXNIP	4.03831510951286e-10	-2.05146317531416
ENSG00000286034.1	NA	4.23588565247521e-11	-2.37548368653757
ENSG00000290994.1	FAM86C2P	1.81971549044302e-10	-2.17864831906683
ENSG00000291049.1	FAM86B3P	5.01814918958891e-08	-2.37752295744601
