	symbol	padj	log2FoldChange
ENSG00000003147.19	ICA1	3.370012115204e-07	-2.21581762839578
ENSG00000004846.17	ABCB5	1.11094294492869e-19	2.0002122139809
ENSG00000005189.20	REXO5	1.31375226993294e-08	-2.06326032345016
ENSG00000007968.7	E2F2	3.07964875749497e-14	-3.08418573456339
ENSG00000012048.24	BRCA1	7.15767024656761e-20	-2.54553279222853
ENSG00000021762.20	OSBPL5	3.15536215706516e-18	-2.01581240926842
ENSG00000049246.15	PER3	3.43039521644766e-25	-2.88272244647583
ENSG00000051180.17	RAD51	9.23473370835065e-11	-2.36477674175927
ENSG00000062282.15	DGAT2	2.61678476437777e-09	-2.19356574703209
ENSG00000063241.8	ISOC2	1.53418887874479e-27	-2.20526341172148
ENSG00000065328.17	MCM10	2.85007675426878e-24	-2.70693272896221
ENSG00000069424.16	KCNAB2	3.39253819212209e-31	-2.42898731561061
ENSG00000076003.5	MCM6	4.23378799296819e-38	-2.7065083873789
ENSG00000076248.12	UNG	3.28395891853485e-42	-2.302395456352
ENSG00000085840.13	ORC1	1.25053549011328e-19	-2.15964126421073
ENSG00000089127.15	OAS1	8.87817686338228e-15	3.35566029015248
ENSG00000092853.14	CLSPN	1.52886621254141e-33	-2.67520232602686
ENSG00000093009.11	CDC45	3.41669722601604e-29	-3.39680218845174
ENSG00000094804.12	CDC6	5.56999147021432e-31	-2.1138730326629
ENSG00000100196.11	KDELR3	4.39370759339971e-14	-2.12835915115547
ENSG00000100297.16	MCM5	1.47165147518252e-29	-2.13512861824502
ENSG00000100479.14	POLE2	1.69493322623255e-12	-2.35158135364181
ENSG00000101057.16	MYBL2	6.88966851818211e-41	-3.51588888420225
ENSG00000101311.17	FERMT1	1.36763040315501e-07	-2.50320888773686
ENSG00000103021.10	CCDC113	1.3136905800476e-13	-2.02532970091292
ENSG00000104381.14	GDAP1	2.20717749021824e-20	-2.17809426064369
ENSG00000104524.14	PYCR3	3.5705122721512e-37	-2.30523293146305
ENSG00000105011.9	ASF1B	6.4985068602631e-41	-3.01342642829015
ENSG00000105486.15	LIG1	2.60206021218026e-27	-2.23462027651232
ENSG00000106823.13	ECM2	0.000117434899764667	-2.03801388899062
ENSG00000107719.10	PALD1	3.69763446109681e-14	-2.33758384885734
ENSG00000107796.13	ACTA2	3.06342466269427e-39	-2.48624242978256
ENSG00000108439.11	PNPO	2.9570773649836e-52	-2.27339018863573
ENSG00000108641.20	B9D1	1.40376586733452e-28	-2.19947104002552
ENSG00000108924.14	HLF	4.04235714686218e-19	-2.88876918404517
ENSG00000109674.4	NEIL3	6.81572669312891e-08	-2.06812688836087
ENSG00000111247.15	RAD51AP1	1.14542939125261e-12	-2.70173768995083
ENSG00000111331.14	OAS3	2.59028447267627e-14	2.1988105770465
ENSG00000113790.11	EHHADH	1.01102521704986e-12	-2.11414252162525
ENSG00000116701.16	NCF2	2.50896009408749e-37	2.63227718420186
ENSG00000119227.8	PIGZ	6.03677636503408e-11	-2.01875285964698
ENSG00000119917.15	IFIT3	2.05880622880714e-59	2.59795863243466
ENSG00000119969.16	HELLS	1.46554760136875e-23	-2.32127150207118
ENSG00000120915.14	EPHX2	4.02973324940001e-14	-2.08534586418832
ENSG00000124212.6	PTGIS	3.63510028048413e-44	-2.11438726154871
ENSG00000126709.16	IFI6	6.00991310630805e-23	3.01094604564953
ENSG00000127564.17	PKMYT1	4.59307350834846e-34	-3.02796311771287
