	padj	log2FoldChange
ENST00000439784.7_MYH16-203	0.000245994662558122	2.61467056007531
ENST00000514990.1_PLXND1-216	0.00153801999498591	2.15834245430687
ENST00000537110.1_TMEM132A-208	0.00087412439451893	1.58935919447811
ENST00000543732.1_TMEM132A-212	8.82562151697248e-07	2.01557352322053
ENST00000341627.5_TNFRSF12A-202	1.8860834098645e-26	2.8885898402678
ENST00000397193.7_PAFAH1B1-201	0.00157859551572755	2.08856599564229
ENST00000498383.5_ST7L-228	0.000121680101111343	3.56392888129881
ENST00000565809.5_RPUSD1-207	0.000531226975139713	2.9681786357233
ENST00000684102.1_POMT2-259	0.00223290917652541	2.76799230103204
ENST00000421070.1_LYPLA2-207	0.000107790603394563	2.03021083987303
ENST00000554968.1_BTBD7-207	0.00370439801496168	2.96564295517215
ENST00000680649.1_AKAP8L-230	1.82307020270125e-05	2.19449301535164
ENST00000592444.5_ERCC1-216	0.000592437692914902	4.19520179475043
ENST00000612509.4_SEMA3B-211	2.327678475772e-07	2.53357674582079
ENST00000542838.6_DDX11-223	7.83170073221159e-08	4.91915832906644
ENST00000704340.1_ZMYND11-225	1.33432042463705e-06	3.32378507327318
ENST00000467467.5_WWTR1-204	5.66257974930288e-06	1.6365332664905
ENST00000526374.5_PHLDB1-207	1.76360508750186e-08	1.88218575567022
ENST00000529005.5_PHLDB1-216	0.00156880477098616	2.57652089466573
ENST00000614369.4_PHLDB1-224	2.41331049933022e-07	2.0524508086813
ENST00000525701.5_RNH1-210	2.23763526463878e-08	2.44950661778255
ENST00000369124.5_PLEKHO1-201	1.71733827127286e-05	1.92010877428594
ENST00000395698.7_NCAPH2-202	0.000732802703879433	2.33967855086647
ENST00000359331.8_SLAMF7-201	0.00196454915007447	2.23939047317695
ENST00000587109.5_GRN-207	2.76928071862198e-07	1.89298873469359
ENST00000342679.9_MAP2K3-202	1.14245216319649e-25	1.66880708046647
ENST00000375153.8_SLC66A1-201	8.51829797801125e-13	2.0488190244921
ENST00000426837.6_MAP4-207	0.000577322906155557	2.5402369891932
ENST00000514705.5_TSPAN17-208	0.00212344418212885	2.09594702055483
ENST00000350026.10_ARID1B-203	0.00124112515638638	2.25246807347172
ENST00000488770.1_MCUR1-202	0.000752690656304091	1.80702841997252
ENST00000569340.1_BCAR1-222	0.00399299646110994	1.95920991702396
ENST00000525029.1_TTC17-205	1.04976576933113e-08	5.74911392673422
ENST00000397464.5_UNKL-205	0.00213929218325747	3.17597796713457
ENST00000544622.4_YBX3-216	0.000229122462432144	1.81132156443728
ENST00000418740.5_MRPS24-203	1.87445811713024e-06	1.77486325856445
ENST00000372459.7_CTSA-203	9.60536113697536e-07	1.69159292476688
ENST00000348419.7_CNN2-202	0.00014382390388453	3.08938323550408
ENST00000417382.5_HMG20B-204	2.69014581593948e-05	3.75604373858334
ENST00000340829.10_CDK13-202	0.000116955980552347	1.597105510136
ENST00000546732.1_DIP2B-203	0.000142258822562001	2.41896048904264
ENST00000413284.5_SP100-207	0.00215181726719157	1.90764104903007
ENST00000432979.5_SP100-210	8.40958836077678e-06	4.17772121470251
ENST00000551277.1_NAV3-213	2.04570660061714e-06	3.05016515614109
ENST00000535731.1_LRP6-202	0.000644245162219849	3.29458240777213
ENST00000378103.7_GBA2-203	4.50201500208831e-13	1.58552812915054
ENST00000475800.5_SNX13-207	0.00407836541730196	2.23372478446916
ENST00000590550.6_MBD3-207	1.46982183027733e-05	1.6889199291632
ENST00000592361.2_MBD3-210	0.000263365912883072	1.59958514847714
ENST00000490480.1_FAM50A-206	0.00169449107858026	2.70644697277199
ENST00000491831.5_AFF4-209	1.64547909150642e-05	4.56712887847468
ENST00000684692.1_HSD17B10-209	0.000572802597788289	3.12771838307376
ENST00000509451.1_EVC-203	9.06569087419031e-17	2.8151009925056
ENST00000514919.1_EVC-204	4.21251298979616e-31	2.71909039414845
ENST00000706373.1_NSF-209	0.00422705691987288	2.53287566288699
ENST00000489867.2_ENO1-205	9.48031434434742e-07	3.09242439611625
ENST00000410075.5_ZNF638-204	0.00350283760583772	1.58829585082744
ENST00000367113.5_SYNJ2-203	9.02581084587099e-13	2.90014632856684
ENST00000610897.4_GNB1-209	1.78240161508118e-08	2.00069721942074
ENST00000652497.1_MLLT10-226	0.00163989777913955	1.8199858317072
ENST00000527085.1_TOLLIP-204	0.0005086128230067	2.13474441592308
ENST00000446008.5_UBE2D4-206	1.94764581786142e-05	3.23995417418394
ENST00000454350.5_UBE2D4-208	7.56148286730726e-06	2.08882164834222
ENST00000446688.5_TNS1-208	5.77357503517533e-06	2.40486819266922
ENST00000160740.7_CIC-201	0.00457092270677129	1.80168142597631
ENST00000529464.5_FDFT1-215	0.00120015736636008	2.625466348463
ENST00000261783.4_ARG2-201	4.12236637319461e-05	2.13729911745645
ENST00000677502.1_GSK3B-229	2.24279442418302e-05	3.40782952813586
ENST00000523075.1_LYRM2-207	4.44164949511355e-06	3.54933769318485
ENST00000498765.5_GSTP1-207	0.00132333140450468	3.1508092634586
ENST00000346329.7_CTTN-202	2.19370207350934e-08	2.10695011270188
ENST00000389384.8_ATXN7L3-201	6.85700230218647e-09	2.12063487007089
ENST00000549989.1_DYNLL1-207	2.44577014243542e-09	3.31700804755845
ENST00000379276.4_TMEM230-203	2.37087193579681e-06	3.74496422604786
ENST00000452357.7_OAS1-203	0.000756198495715115	4.17272419568123
ENST00000553152.2_OAS1-210	0.000450338247810755	3.16026770515727
ENST00000675868.2_OAS1-212	1.67882527898582e-07	5.68333408008687
ENST00000600231.5_GRAMD1A-212	0.00178735637140908	1.64001539221016
ENST00000557033.1_HNRNPC-227	0.000134414372177536	2.36621433951899
ENST00000557768.1_HNRNPC-232	0.00125351548750099	1.92230546486729
ENST00000546630.1_MYL6-204	1.36055388956789e-05	1.67380247297388
ENST00000548580.5_MYL6-211	0.000510713029014737	1.6843566470886
ENST00000368291.6_ECHDC1-203	0.000470559458797568	2.97924206123366
ENST00000362057.4_WHRN-202	8.01724534068014e-13	2.13105017547341
ENST00000673811.1_WHRN-206	8.85687217244205e-06	3.19136513627622
ENST00000418664.2_DSP-202	9.24952968712638e-05	1.5899188424287
ENST00000282633.10_WASHC2A-201	1.38903447223495e-09	1.83964660578284
ENST00000215057.7_MZF1-201	2.0281074519982e-05	1.8280119936978
ENST00000591055.5_CIRBP-230	4.33248711942214e-05	4.32405567119261
ENST00000589534.2_MKNK2-210	8.46713917441682e-06	1.6927619595094
ENST00000463909.1_LZTR1-208	0.00338024921118981	1.7418856896343
ENST00000325180.12_GGA1-201	0.00130337633701087	2.56947818323627
ENST00000429411.5_HPS4-205	0.000693613894203657	1.62833152353232
ENST00000477945.1_SRRD-203	8.06930471024633e-05	1.66556487239508
ENST00000489812.1_MICALL1-206	0.000244880351189404	2.84287130684685
ENST00000705116.1_RANGAP1-208	0.000409532103562991	1.73582243314625
ENST00000457657.5_ACIN1-205	3.39922310358847e-08	2.23826660043515
ENST00000553555.5_APEX1-205	0.000735109008455944	1.60064718569908
ENST00000342422.3_RAB5IF-201	3.08140542677151e-08	2.79181730219246
ENST00000348257.9_TPD52L2-203	3.70334734279296e-07	2.26651445173301
ENST00000519273.6_ARFGAP1-210	0.00489328951886395	1.93719431646715
ENST00000432261.6_RNF24-203	0.00233374452411971	2.61784930094305
ENST00000488679.5_ACOT8-211	0.00204096777637453	1.81614433007942
ENST00000477777.1_UBL4A-205	5.82001253069519e-09	2.57012434933779
ENST00000648477.1_ACP5-211	0.00136797352131206	2.97418177920855
ENST00000219343.11_SLC7A6-201	7.15622034958715e-07	1.69315659720324
ENST00000545553.1_MON1B-203	2.68824979874211e-05	3.53933453158079
ENST00000569610.5_MON1B-210	1.94587459649604e-05	2.94455891572147
ENST00000699948.1_CLCN7-215	4.42460911643424e-07	1.64169871428265
ENST00000676808.1_CTSH-229	2.63886981501555e-05	3.80298626404082
ENST00000560299.1_SPG11-218	0.00145847350859673	3.20726303446143
ENST00000517890.5_IKBKB-206	0.00496477198687513	2.41628857308391
ENST00000522785.1_IKBKB-224	0.00180240423491225	2.83417224257039
ENST00000429861.5_RAB2A-203	0.00155802847475817	2.75824077124245
ENST00000527006.1_GFUS-205	0.00388700652886612	2.69045908511528
