	symbol	padj	log2FoldChange
ENSG00000004846.17	ABCB5	1.11094294492869e-19	2.0002122139809
ENSG00000089127.15	OAS1	8.87817686338228e-15	3.35566029015248
ENSG00000111331.14	OAS3	2.59028447267627e-14	2.1988105770465
ENSG00000116701.16	NCF2	2.50896009408749e-37	2.63227718420186
ENSG00000119917.15	IFIT3	2.05880622880714e-59	2.59795863243466
ENSG00000126709.16	IFI6	6.00991310630805e-23	3.01094604564953
ENSG00000130518.18	IQCN	8.44303443318759e-10	2.37247281043912
ENSG00000131471.7	AOC3	1.32357908633111e-06	2.85996525431206
ENSG00000134321.13	RSAD2	2.01069609573722e-06	3.28112952308607
ENSG00000136383.7	ALPK3	8.44893341742466e-09	2.49290232025393
ENSG00000137959.17	IFI44L	6.21299854758131e-21	2.58072473022168
ENSG00000140465.15	CYP1A1	5.13454178360665e-17	2.05459919545274
ENSG00000146242.9	TPBG	5.38404609614323e-44	2.17966369996331
ENSG00000148082.10	SHC3	1.29541759128035e-13	2.13767055040196
ENSG00000157601.15	MX1	1.4026019456562e-18	2.81063814128841
ENSG00000158373.9	H2BC5	9.6289003323525e-30	2.60157499181567
ENSG00000167614.14	TTYH1	6.36006069425733e-07	2.29175997191526
ENSG00000168298.7	H1-4	1.38870233934598e-13	2.48974541233588
ENSG00000170390.16	DCLK2	2.648982943923e-26	2.25212639528626
ENSG00000174059.17	CD34	0.000148349286479373	2.02634040487494
ENSG00000178573.7	MAF	6.66719031914915e-19	2.10666936284542
ENSG00000180573.10	H2AC6	5.03944768748371e-58	2.89949715086901
ENSG00000180596.8	H2BC4	8.21185477631714e-12	2.43820760342919
ENSG00000182324.7	KCNJ14	1.99792567465198e-10	2.05313471601445
ENSG00000182795.13	C1orf116	5.2948388437761e-09	2.16665699599451
ENSG00000182836.10	PLCXD3	3.02419826928815e-06	2.27378410130094
ENSG00000184697.7	CLDN6	2.47187622901634e-08	2.65417624029618
ENSG00000185507.21	IRF7	4.9364046297599e-58	2.68640771114729
ENSG00000185745.10	IFIT1	1.65648682615891e-155	5.07940297226668
ENSG00000187608.10	ISG15	5.86380973131536e-114	3.8196611801734
ENSG00000204390.10	HSPA1L	5.34994579050497e-12	2.11771872324156
ENSG00000213144.2	NA	3.61778122981344e-16	2.3070374440141
ENSG00000223855.4	PDGFA-DT	2.04561628715648e-07	2.3679631194758
ENSG00000224945.1	NA	3.05796629478414e-10	2.10607869813919
ENSG00000228509.7	NA	1.7938955522378e-05	2.0854334499225
ENSG00000244242.2	IFITM10	8.85594893136755e-22	3.2350701670725
ENSG00000267898.1	NA	1.27511325174794e-05	2.75034966877825
ENSG00000268621.6	IGFL2-AS1	2.98385499665127e-14	2.84510741759207
ENSG00000268879.1	NA	4.0867045084278e-12	3.43671046693264
ENSG00000273802.3	H2BC8	5.91499298336276e-06	2.05416665014803
ENSG00000275216.2	NA	1.92886306587266e-23	2.84700756655128
ENSG00000279641.1	NA	3.03150004367943e-08	3.24490555591202
ENSG00000280351.2	NA	4.12783506406668e-07	2.14366346372798
ENSG00000288559.1	NA	8.51035943311251e-09	2.17520251250229
ENSG00000289117.2	NA	8.65076685180368e-09	2.9449682693695
