	Row.names	Symbol	Gene.name	padj	log2FoldChange
1	ENSG00000171848	RRM2	ribonucleotide reductase regulatory subunit M2	8.90274643100926e-29	-3.84275582860362
2	ENSG00000093009	CDC45	cell division cycle 45	3.02898199203234e-21	-3.12275434893263
3	ENSG00000145362	ANK2	ankyrin 2	5.45808672776364e-29	-3.09370837769948
4	ENSG00000101057	MYBL2	MYB proto-oncogene like 2	1.6605270499076e-26	-3.04081832578024
5	ENSG00000012048	BRCA1	BRCA1 DNA repair associated	6.27965637648787e-23	-3.03098985510602
6	ENSG00000171320	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2	7.65015768428074e-11	-3.01042996720329
7	ENSG00000049246	PER3	period circadian regulator 3	2.23714939120373e-23	-3.00857090241593
8	ENSG00000092853	CLSPN	claspin	1.98094478395951e-34	-2.95716920761822
9	ENSG00000198919	DZIP3	DAZ interacting zinc finger protein 3	1.8366514915003e-19	-2.92886894179699
10	ENSG00000076003	MCM6	minichromosome maintenance complex component 6	1.24086490870707e-36	-2.90388707612175
11	ENSG00000152256	PDK1	pyruvate dehydrogenase kinase 1	3.39734682557435e-33	-2.88265477536112
12	ENSG00000151725	CENPU	centromere protein U	1.61244781250238e-14	-2.87455663450323
13	ENSG00000113790	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase	3.56060715022946e-18	-2.86143162101146
14	ENSG00000167900	TK1	thymidine kinase 1	2.71939998085658e-29	-2.83514416037572
15	ENSG00000111247	RAD51AP1	RAD51 associated protein 1	4.05360289250892e-10	-2.81233372320152
16	ENSG00000174371	EXO1	exonuclease 1	9.6127315638618e-15	-2.80608594699769
17	ENSG00000136492	BRIP1	BRCA1 interacting protein C-terminal helicase 1	2.75454038007847e-10	-2.79534094807125
18	ENSG00000144354	CDCA7	cell division cycle associated 7	6.93897178318317e-19	-2.77923997839184
19	ENSG00000286034	NA	NA	4.55475298898353e-11	-2.77671003096517
20	ENSG00000104381	GDAP1	ganglioside induced differentiation associated protein 1	1.27506350168478e-26	-2.76848665622094
21	ENSG00000127564	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	3.0649647151706e-23	-2.72819152199033
22	ENSG00000105011	ASF1B	anti-silencing function 1B histone chaperone	4.77502754029128e-28	-2.71780109765147
23	ENSG00000153363	LINC00467	long intergenic non-protein coding RNA 467	1.40817214892372e-08	-2.70337567554552
24	ENSG00000143476	DTL	denticleless E3 ubiquitin protein ligase homolog	9.20592278832248e-31	-2.70153019551036
25	ENSG00000108924	HLF	HLF transcription factor, PAR bZIP family member	1.71288525177353e-13	-2.69624530557258
26	ENSG00000166432	ZMAT1	zinc finger matrin-type 1	3.24739777534541e-08	-2.65772677022226
27	ENSG00000139410	SDSL	serine dehydratase like	1.46860830059302e-19	-2.65586035045755
28	ENSG00000156253	RWDD2B	RWD domain containing 2B	1.16981558863066e-29	-2.63223070109785
29	ENSG00000107719	PALD1	phosphatase domain containing paladin 1	3.98771308521898e-12	-2.61745186200154
30	ENSG00000125772	GPCPD1	glycerophosphocholine phosphodiesterase 1	1.31392170032037e-15	-2.61086753950979
31	ENSG00000007968	E2F2	E2F transcription factor 2	9.55754181737586e-08	-2.60316026624892
32	ENSG00000119969	HELLS	helicase, lymphoid specific	7.28053424038711e-23	-2.60291365329321
33	ENSG00000145882	PCYOX1L	prenylcysteine oxidase 1 like	3.76976690819223e-12	-2.58027435741393
