	Row.names	Symbol	Gene.name	padj	log2FoldChange
1	ENSG00000136689	IL1RN	interleukin 1 receptor antagonist	7.68922659582455e-45	4.03103900417959
2	ENSG00000268621	IGFL2-AS1	IGFL2 antisense RNA 1	9.46432810519477e-17	3.55903057363126
3	ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5	1.31028690645238e-48	3.40835837559673
4	ENSG00000109819	PPARGC1A	PPARG coactivator 1 alpha	7.8836162871138e-24	3.05044281935015
5	ENSG00000258183	LINC02392	long intergenic non-protein coding RNA 2392	4.5402335142353e-08	2.99620965135323
6	ENSG00000135116	HRK	harakiri, BCL2 interacting protein	7.93206638303002e-38	2.78822716239013
7	ENSG00000163884	KLF15	Kruppel like factor 15	9.26449084094025e-08	2.77224650145743
8	ENSG00000180447	GAS1	growth arrest specific 1	6.94844639190522e-13	2.72430856413834
9	ENSG00000135253	KCP	kielin cysteine rich BMP regulator	1.17431475126098e-34	2.71777149228864
10	ENSG00000103034	NDRG4	NDRG family member 4	2.03393911112631e-48	2.64538720606668
11	ENSG00000254682	NA	NA	1.48894432516148e-17	2.60385999272971
12	ENSG00000143507	DUSP10	dual specificity phosphatase 10	1.22578704898338e-44	2.59601727092969
13	ENSG00000177283	FZD8	frizzled class receptor 8	2.36945340577793e-45	2.53634073161981
14	ENSG00000158373	H2BC5	H2B clustered histone 5	7.44035077712364e-18	2.5330773430504
15	ENSG00000275216	NA	NA	7.0270944873754e-14	2.51669878853943
16	ENSG00000140465	CYP1A1	cytochrome P450 family 1 subfamily A member 1	5.31144755523737e-19	2.51335560061897
17	ENSG00000197355	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	2.85515952675798e-36	2.50698701247062
18	ENSG00000136999	CCN3	cellular communication network factor 3	6.18427876180253e-70	2.50143213714126
19	ENSG00000040531	CTNS	cystinosin, lysosomal cystine transporter	5.8106911484658e-46	2.49368758326382
20	ENSG00000203446	NA	NA	4.72647527957191e-07	2.42899266997166
21	ENSG00000081181	ARG2	arginase 2	1.78860651191494e-11	2.42898545069206
22	ENSG00000090674	MCOLN1	mucolipin 1	3.63939400588175e-31	2.42066767066966
23	ENSG00000164379	FOXQ1	forkhead box Q1	4.52369209482272e-38	2.36941535489907
24	ENSG00000178573	MAF	MAF bZIP transcription factor	6.22845289286629e-16	2.36590748010465
25	ENSG00000237596	LOC644135	uncharacterized LOC644135	1.56438058755373e-19	2.32916802481335
26	ENSG00000136859	ANGPTL2	angiopoietin like 2	2.66180182165185e-37	2.30919223617495
27	ENSG00000213638	ADAT3	adenosine deaminase tRNA specific 3	4.63273681654959e-15	2.30856957319958
28	ENSG00000165606	DRGX	dorsal root ganglia homeobox	6.02569373415918e-21	2.29756321049326
29	ENSG00000213694	S1PR3	sphingosine-1-phosphate receptor 3	5.68308441429064e-07	2.28125641705521
30	ENSG00000186480	INSIG1	insulin induced gene 1	3.75174769902188e-37	2.27306240736277
31	ENSG00000272899	ATP6V1FNB	ATP6V1F neighbor	5.93959243628615e-14	2.26235411018935
32	ENSG00000204386	NEU1	neuraminidase 1	1.78848361299564e-41	2.25485287837218
33	ENSG00000148082	SHC3	SHC adaptor protein 3	3.8662321077678e-09	2.22740814974299
34	ENSG00000002079	NA	NA	4.78310147904228e-12	2.18975749035305
