	Row.names	Symbol	Gene.name	padj	log2FoldChange
1	ENSG00000170949	ZNF160	zinc finger protein 160	2.5717460757091e-06	-1.25802224440473
2	ENSG00000152256	PDK1	pyruvate dehydrogenase kinase 1	1.90461312838881e-05	-1.10824957503371
3	ENSG00000122884	P4HA1	prolyl 4-hydroxylase subunit alpha 1	1.46214479665956e-08	-1.03394093768886
4	ENSG00000152952	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	4.15969243778262e-07	-0.96819443109988
5	ENSG00000113369	ARRDC3	arrestin domain containing 3	3.96378360970352e-08	-0.965894712225594
6	ENSG00000151151	IPMK	inositol polyphosphate multikinase	0.00644442443401047	-0.961825193711514
7	ENSG00000069667	RORA	RAR related orphan receptor A	0.00589670322948513	-0.946634484578327
8	ENSG00000169432	SCN9A	sodium voltage-gated channel alpha subunit 9	0.0103356551890478	-0.924880028911029
9	ENSG00000104765	BNIP3L	BCL2 interacting protein 3 like	4.78499381971319e-11	-0.910328372739649
10	ENSG00000088340	FER1L4	fer-1 like family member 4 (pseudogene)	0.00100690837615008	-0.905094228620804
11	ENSG00000176171	BNIP3	BCL2 interacting protein 3	7.89808992201678e-08	-0.900610824364562
12	ENSG00000111897	SERINC1	serine incorporator 1	1.46214479665956e-08	-0.900557169792962
13	ENSG00000114127	XRN1	5'-3' exoribonuclease 1	0.000670536144802925	-0.890014112327313
14	ENSG00000151012	SLC7A11	solute carrier family 7 member 11	8.70185737292633e-06	-0.874841435230539
15	ENSG00000128923	MINDY2	MINDY lysine 48 deubiquitinase 2	0.000930135453407231	-0.861643035064879
16	ENSG00000125629	INSIG2	insulin induced gene 2	0.000101557625469571	-0.847056288836633
17	ENSG00000162433	AK4	adenylate kinase 4	5.24925803643161e-05	-0.832437402687992
18	ENSG00000101782	RIOK3	RIO kinase 3	2.07088543776719e-07	-0.82637885586597
19	ENSG00000129003	VPS13C	vacuolar protein sorting 13 homolog C	8.41134327982123e-06	-0.825922425997873
20	ENSG00000129493	HEATR5A	HEAT repeat containing 5A	0.00372354272198816	-0.824801049273998
21	ENSG00000075089	ACTR6	actin related protein 6	0.00882074108355287	-0.824420300298324
22	ENSG00000150593	PDCD4	programmed cell death 4	0.00926429342354021	-0.824153567768116
23	ENSG00000115548	KDM3A	lysine demethylase 3A	0.000331002278707709	-0.817650850209981
24	ENSG00000247095	MIR210HG	MIR210 host gene	0.0128029241768834	-0.817452721785102
25	ENSG00000116918	TSNAX	translin associated factor X	0.000668066512186095	-0.81617034926039
26	ENSG00000144369	FAM171B	family with sequence similarity 171 member B	0.000171626911476426	-0.814950190771893
27	ENSG00000164253	WDR41	WD repeat domain 41	0.000932305347107965	-0.807531180119248
28	ENSG00000104164	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6	0.000413955241656622	-0.806576404997883
29	ENSG00000102893	PHKB	phosphorylase kinase regulatory subunit beta	1.46214479665956e-08	-0.802784223102976
30	ENSG00000177409	SAMD9L	sterile alpha motif domain containing 9 like	0.00658981264094704	-0.797111556585332
31	ENSG00000232931	NA	NA	0.0135313680898525	-0.793033645226046
32	ENSG00000146587	RBAK	RB associated KRAB zinc finger	0.00861260066711159	-0.791783800760548
33	ENSG00000233452	STXBP5-AS1	STXBP5 antisense RNA 1	0.0181877093861871	-0.790080509192234
34	ENSG00000116191	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	0.00554549922057219	-0.788882787178399
35	ENSG00000114331	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	0.000255816430141927	-0.786657942485216
36	ENSG00000140450	ARRDC4	arrestin domain containing 4	0.00558413990964632	-0.786115502864579
37	ENSG00000145362	ANK2	ankyrin 2	0.00340048160996094	-0.7856268836305
38	ENSG00000148516	ZEB1	zinc finger E-box binding homeobox 1	0.00352599710769225	-0.78145022952848
39	ENSG00000021574	SPAST	spastin	0.0107455768491024	-0.778111354435556
40	ENSG00000145348	TBCK	TBC1 domain containing kinase	0.000684157964308516	-0.777494681329492
41	ENSG00000046604	DSG2	desmoglein 2	8.12323675735903e-06	-0.775694979895094
42	ENSG00000131263	RLIM	ring finger protein, LIM domain interacting	0.000117574937692197	-0.772115221697139
43	ENSG00000156671	SAMD8	sterile alpha motif domain containing 8	0.00185638684585364	-0.771527175451165
44	ENSG00000144824	PHLDB2	pleckstrin homology like domain family B member 2	0.00107271786324344	-0.770283460482161
45	ENSG00000134318	ROCK2	Rho associated coiled-coil containing protein kinase 2	0.000331002278707709	-0.76959162766335
46	ENSG00000072571	HMMR	hyaluronan mediated motility receptor	0.0223539982966736	-0.764688633016242
