	Row.names	Symbol	Gene.name	padj	log2FoldChange
1	ENSG00000185745	IFIT1	interferon induced protein with tetratricopeptide repeats 1	1.39818723949772e-122	4.93032495490678
2	ENSG00000187608	ISG15	ISG15 ubiquitin like modifier	1.52530895813947e-94	3.91600279678504
3	ENSG00000244242	IFITM10	interferon induced transmembrane protein 10	4.52975045042681e-15	3.62327179675343
4	ENSG00000089127	OAS1	2'-5'-oligoadenylate synthetase 1	5.98693875975527e-12	3.52788254645822
5	ENSG00000158373	H2BC5	H2B clustered histone 5	3.97226819622552e-33	3.39062199622314
6	ENSG00000168298	H1-4	H1.4 linker histone, cluster member	8.82206218842373e-12	3.31060132316582
7	ENSG00000268621	IGFL2-AS1	IGFL2 antisense RNA 1	4.59845210723022e-14	3.21263957182566
8	ENSG00000275216	NA	NA	6.5917619083905e-22	3.09801549554025
9	ENSG00000126709	IFI6	interferon alpha inducible protein 6	2.38206021858141e-17	3.07097965846876
10	ENSG00000185507	IRF7	interferon regulatory factor 7	2.27643499359733e-56	3.04357188575385
11	ENSG00000140465	CYP1A1	cytochrome P450 family 1 subfamily A member 1	2.35615701574914e-27	2.97403516136621
12	ENSG00000180573	H2AC6	H2A clustered histone 6	4.04752113749764e-45	2.85619126778504
13	ENSG00000116701	NCF2	neutrophil cytosolic factor 2	7.13427055348955e-31	2.77369548769967
14	ENSG00000273802	H2BC8	H2B clustered histone 8	4.71963212419253e-09	2.71563068431887
15	ENSG00000157601	MX1	MX dynamin like GTPase 1	3.15435265253662e-11	2.6869817553639
16	ENSG00000180596	H2BC4	H2B clustered histone 4	5.18653977296419e-08	2.63789247184514
17	ENSG00000178573	MAF	MAF bZIP transcription factor	2.7679611840924e-20	2.63450824823005
18	ENSG00000137959	IFI44L	interferon induced protein 44 like	1.08249996808386e-14	2.61649685900165
19	ENSG00000111331	OAS3	2'-5'-oligoadenylate synthetase 3	6.31967101216137e-13	2.53636978065599
20	ENSG00000146242	TPBG	trophoblast glycoprotein	7.51692747971907e-46	2.52312959749487
21	ENSG00000023902	PLEKHO1	pleckstrin homology domain containing O1	8.33806993884555e-49	2.47586842856002
22	ENSG00000232533	NA	NA	1.49589107995435e-29	2.47585077249243
23	ENSG00000148082	SHC3	SHC adaptor protein 3	2.77071020218087e-11	2.42773488585665
24	ENSG00000166922	SCG5	secretogranin V	2.07222690179301e-11	2.38722684000058
25	ENSG00000184678	H2BC21	H2B clustered histone 21	7.8184783788779e-15	2.3685679836085
26	ENSG00000176170	SPHK1	sphingosine kinase 1	5.51535434337333e-46	2.3675746185275
27	ENSG00000213144	NA	NA	7.03578843001422e-11	2.30729680418341
28	ENSG00000170390	DCLK2	doublecortin like kinase 2	5.02862647374482e-20	2.3029683648078
29	ENSG00000095397	WHRN	whirlin	4.28993045973244e-67	2.29337132908397
30	ENSG00000243742	RPLP0P2	ribosomal protein lateral stalk subunit P0 pseudogene 2	2.90785399001426e-08	2.21232353739935
31	ENSG00000183691	NOG	noggin	3.07132295352785e-12	2.16080676575035
32	ENSG00000139874	SSTR1	somatostatin receptor 1	1.69958285470748e-09	2.15785323998179
33	ENSG00000235027	NA	NA	4.64276980203638e-14	2.13578114572301
34	ENSG00000002079	NA	NA	2.46672172995254e-11	2.13118026383086
35	ENSG00000119917	IFIT3	interferon induced protein with tetratricopeptide repeats 3	9.65821312947262e-35	2.12371469507163
36	ENSG00000270504	NA	NA	4.37447981566789e-16	2.09918428651964
37	ENSG00000081181	ARG2	arginase 2	4.27704740398791e-08	2.09515208749863
38	ENSG00000135899	SP110	SP110 nuclear body protein	5.37250507679979e-32	2.09129837796679
39	ENSG00000229512	NA	NA	5.93640895491234e-07	2.0748600891199
40	ENSG00000188313	PLSCR1	phospholipid scramblase 1	3.96005081591718e-46	2.0745310438688
41	ENSG00000213638	ADAT3	adenosine deaminase tRNA specific 3	1.290311098084e-11	2.06294226721495
42	ENSG00000225190	PLEKHM1	pleckstrin homology and RUN domain containing M1	3.65987578845148e-52	2.04962473811305
43	ENSG00000182108	DEXI	Dexi homolog	2.81716636799473e-07	2.03144484159708
44	ENSG00000177234	LINC01561	long intergenic non-protein coding RNA 1561	4.89797325578397e-13	2.00773980117696
45	ENSG00000179862	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	1.2328463049672e-07	1.99635776043691
46	ENSG00000232098	NA	NA	3.88526231970278e-17	1.99214054132106
47	ENSG00000184669	OR7E14P	olfactory receptor family 7 subfamily E member 14 pseudogene	3.21481862855735e-08	1.98661171186904
48	ENSG00000203706	NA	NA	1.54781878049994e-08	1.96383833928085
49	ENSG00000261253	LOC100287036	uncharacterized LOC100287036	7.49054125052564e-08	1.95480074826278
50	ENSG00000187837	H1-2	H1.2 linker histone, cluster member	1.1469369080917e-07	1.94859921445673
51	ENSG00000161010	MRNIP	MRN complex interacting protein	9.89174776320456e-25	1.94447899746544
52	ENSG00000176396	EID2	EP300 interacting inhibitor of differentiation 2	8.56375646250996e-25	1.93131539864372
53	ENSG00000135116	HRK	harakiri, BCL2 interacting protein	6.70084977404023e-17	1.92703275944631
54	ENSG00000137331	IER3	immediate early response 3	6.85879010014599e-40	1.91492655744632
55	ENSG00000132694	ARHGEF11	Rho guanine nucleotide exchange factor 11	4.79849877765783e-46	1.91100466728934
56	ENSG00000279821	NA	NA	7.23914671762055e-15	1.89761777810542
57	ENSG00000141965	FEM1A	fem-1 homolog A	5.00968723586998e-12	1.89240316996204
58	ENSG00000078804	TP53INP2	tumor protein p53 inducible nuclear protein 2	3.72126672791513e-09	1.88091641656358
59	ENSG00000130159	ECSIT	ECSIT signaling integrator	5.04560358165653e-24	1.873940674562
60	ENSG00000181218	H2AW	H2A.W histone	3.51573283016092e-11	1.87382258204346
61	ENSG00000254615	NA	NA	8.41597806822751e-10	1.87199850024852
62	ENSG00000161904	LEMD2	LEM domain nuclear envelope protein 2	1.68042092140355e-49	1.8678719401127
63	ENSG00000180340	FZD2	frizzled class receptor 2	1.20651427587915e-36	1.85819940808223
