	symbol	padj	log2FoldChange
ENSG00000002079.14	MYH16	4.98952796473969e-14	2.13051226309112
ENSG00000003147.19	ICA1	3.07092182361761e-08	-2.46645042301127
ENSG00000005189.20	REXO5	1.07176324398155e-07	-2.00350418990176
ENSG00000007968.7	E2F2	1.07903151227208e-10	-2.60529000397185
ENSG00000012048.24	BRCA1	4.08171864801579e-26	-3.08253194849771
ENSG00000021762.20	OSBPL5	2.05058889479414e-16	-2.0200677819322
ENSG00000021826.18	CPS1	2.58306906422468e-15	-2.14264758699253
ENSG00000023902.14	PLEKHO1	1.21312228728622e-49	2.47518345917869
ENSG00000049246.15	PER3	2.10316982555509e-25	-3.00965691266263
ENSG00000051180.17	RAD51	1.09419081565824e-08	-2.14020308280549
ENSG00000065328.17	MCM10	1.2680484508892e-19	-2.54315992972871
ENSG00000068784.13	SRBD1	7.6898268294804e-11	-2.05757993489942
ENSG00000069424.16	KCNAB2	2.44032333547243e-27	-2.43156605709253
ENSG00000071909.19	MYO3B	1.84307915537334e-10	-2.05473508809471
ENSG00000072571.20	HMMR	5.32136679070211e-14	-2.24961401288445
ENSG00000076003.5	MCM6	4.40335969960669e-38	-2.9053601426622
ENSG00000076242.16	MLH1	3.08413203280881e-32	-2.04877257858454
ENSG00000081181.8	ARG2	5.33148494944793e-11	2.09473905936663
ENSG00000083123.15	BCKDHB	1.9843102319638e-24	-2.38300827636502
ENSG00000089127.15	OAS1	6.69583924914299e-14	3.46850134506399
ENSG00000092853.14	CLSPN	1.00410982387368e-35	-2.95719748685767
ENSG00000093009.11	CDC45	2.10151745098937e-23	-3.12451360125914
ENSG00000095397.17	WHRN	9.82770798643027e-67	2.26670170795011
ENSG00000100196.11	KDELR3	1.0678701573357e-11	-2.03777786500533
ENSG00000100479.14	POLE2	5.02041688229113e-11	-2.25729526944908
ENSG00000101057.16	MYBL2	2.34378004308113e-28	-3.04213470201967
ENSG00000101311.17	FERMT1	2.94601690713202e-07	-2.41933221832996
ENSG00000101333.19	PLCB4	8.9533089214529e-28	-2.05177977585091
ENSG00000101868.13	POLA1	3.03877442546606e-15	-2.01515581182325
ENSG00000103021.10	CCDC113	2.67378544115017e-13	-2.10571110568491
ENSG00000104081.14	BMF	2.90973512159371e-08	2.05547926049524
ENSG00000104381.14	GDAP1	1.89637671801045e-27	-2.6969266658327
ENSG00000105011.9	ASF1B	1.18108057798318e-29	-2.71776334594563
ENSG00000105486.15	LIG1	1.94966735252551e-19	-2.0050794646937
ENSG00000106688.12	SLC1A1	1.94006643025778e-13	-2.15606106810366
ENSG00000106823.13	ECM2	3.92539319812703e-05	-2.21734117865037
ENSG00000107159.14	CA9	1.30239221957577e-09	-2.41042760989722
ENSG00000107719.10	PALD1	2.18289372957933e-13	-2.3638366008252
ENSG00000107796.13	ACTA2	3.7888449738764e-29	-2.27669123491506
ENSG00000108439.11	PNPO	1.10163421841048e-40	-2.17259140230197
ENSG00000108641.20	B9D1	1.81685073572526e-23	-2.13988922569861
ENSG00000108924.14	HLF	4.30843910740722e-16	-2.69806617022001
ENSG00000109674.4	NEIL3	5.58142334844785e-08	-2.12990798874696
ENSG00000109805.10	NCAPG	2.1749555174261e-14	-2.16796847442089
ENSG00000111247.15	RAD51AP1	6.59456428536905e-13	-2.81408664016556
ENSG00000111331.14	OAS3	1.30338256157017e-15	2.52847672671154
ENSG00000113790.11	EHHADH	1.76812162314022e-20	-2.8628022835358
ENSG00000116701.16	NCF2	1.21684967506693e-32	2.76930520961494
ENSG00000116984.15	MTR	2.08074555312823e-20	-2.02416308235899
ENSG00000119227.8	PIGZ	1.01658040623196e-10	-2.07868397869553
ENSG00000119917.15	IFIT3	3.53253419473935e-33	2.06611547183559
ENSG00000119969.16	HELLS	3.86601637116316e-26	-2.61424803288731
ENSG00000120693.14	SMAD9	3.13917275326835e-14	-2.20578577045616
ENSG00000120915.14	EPHX2	2.0797914247705e-16	-2.37921185001081
ENSG00000123977.10	DAW1	4.67585316666216e-26	-2.17740527230426
ENSG00000124212.6	PTGIS	1.37854372054495e-39	-2.19209118192521
ENSG00000124635.9	H2BC11	2.31914019274924e-07	2.1069993328658
ENSG00000125772.14	GPCPD1	4.40847531350253e-18	-2.61243018929823
ENSG00000126709.16	IFI6	1.18446444649675e-19	3.04492608975367
ENSG00000127564.17	PKMYT1	2.66037095216076e-25	-2.72975091698057
ENSG00000127578.7	WFIKKN1	4.87081806060928e-05	2.26592394613976
ENSG00000127946.17	HIP1	4.39887454932146e-19	-2.07808703427753
ENSG00000128833.13	MYO5C	5.96131022849775e-17	-2.32328965452924
ENSG00000130518.18	IQCN	9.67693500818894e-09	2.44519045366732
ENSG00000131153.9	GINS2	9.64207404925604e-18	-2.31964309769217
ENSG00000131471.7	AOC3	2.52575822851289e-05	2.74425871371848
ENSG00000131480.9	AOC2	1.80747152785525e-06	2.39291281628492
ENSG00000132326.13	PER2	2.24000950213489e-10	-2.59966965452099
ENSG00000134321.13	RSAD2	1.13804168252475e-05	3.09405487875227
ENSG00000135049.16	AGTPBP1	1.8138579855892e-28	-2.24268020008107
ENSG00000135336.16	ORC3	1.21483858176007e-22	-2.04321167195144
ENSG00000135378.4	PRRG4	2.33274387291455e-07	2.01389818687297
ENSG00000135899.20	SP110	1.18356616408229e-38	2.05221032500579
ENSG00000136383.7	ALPK3	3.1608607957133e-07	2.34563144848831
ENSG00000136492.10	BRIP1	2.24478872183296e-13	-2.78014898706667
ENSG00000136628.18	EPRS1	2.65437135264717e-45	-2.02246155549621
ENSG00000137310.13	TCF19	8.33175640098138e-23	-2.31709162253864
ENSG00000137691.13	CFAP300	1.8404175305699e-13	-2.27293908149441
ENSG00000137959.17	IFI44L	1.0379907904033e-17	2.6253138958001
ENSG00000138180.16	CEP55	1.6827692575612e-19	-2.35073065626249
ENSG00000139410.15	SDSL	8.53974132099013e-22	-2.65723096668558
ENSG00000139618.18	BRCA2	4.51812641525795e-10	-2.26253453883473
ENSG00000139874.6	SSTR1	2.61238938849024e-12	2.15743513130631
ENSG00000140465.15	CYP1A1	4.0893407274062e-29	2.97339236194265
ENSG00000140525.20	FANCI	4.19669490422917e-14	-2.10315882870906
ENSG00000143476.18	DTL	2.05083133483716e-32	-2.70394472640034
ENSG00000143847.16	PPFIA4	2.5963704035581e-12	-2.43212044694096
ENSG00000144354.15	CDCA7	1.42106129149706e-21	-2.78288908187611
ENSG00000144554.13	FANCD2	7.98431263464785e-14	-2.29013761826431
ENSG00000145362.21	ANK2	4.64246233731377e-31	-3.11011085048627
ENSG00000145882.11	PCYOX1L	7.94229020808417e-15	-2.58231454054168
ENSG00000146242.9	TPBG	9.96486048054618e-47	2.53284764139035
ENSG00000147536.12	GINS4	3.40905881984212e-14	-2.25773763355377
ENSG00000148082.10	SHC3	5.50848276796024e-14	2.42732915075178
ENSG00000148219.18	ASTN2	1.28799884304021e-14	-2.61902782444866
ENSG00000148225.16	WDR31	6.67636168899987e-08	-2.02956111024556
ENSG00000149256.16	TENM4	1.15353965134025e-29	-2.08097266641166
ENSG00000150756.14	ATPSCKMT	2.39622114219469e-17	-2.15476751999827
ENSG00000151725.12	CENPU	4.67750173853601e-17	-2.87637609298227
ENSG00000152253.9	SPC25	1.32549376753066e-06	-2.30287188233313
ENSG00000152256.14	PDK1	8.24970633599611e-35	-2.88422739530435
ENSG00000153363.15	LINC00467	1.80578319545032e-11	-2.70545434567413
ENSG00000154920.15	EME1	8.52560510399379e-10	-2.12421617631883
ENSG00000156253.7	RWDD2B	1.99774927567508e-31	-2.63382158846762
ENSG00000156802.13	ATAD2	3.0722592975999e-19	-2.09664983960114
ENSG00000157601.15	MX1	5.16725020069256e-15	2.73550081544083
ENSG00000158373.9	H2BC5	1.69686720243045e-34	3.38923338317809
ENSG00000165029.17	ABCA1	3.46437138526854e-46	-2.23727483753881
ENSG00000165490.13	DDIAS	4.33012565865434e-12	-2.21051428932903
ENSG00000166250.12	CLMP	5.79129089016909e-34	-2.10957028561362
ENSG00000166432.16	ZMAT1	4.12022717622545e-11	-2.66010125837278
ENSG00000166803.14	PCLAF	2.30323525432899e-08	-2.33853403697454
ENSG00000166922.9	SCG5	5.35741029242943e-06	2.08769180825259
ENSG00000167900.12	TK1	4.75801841889341e-31	-2.83673078116781
ENSG00000168078.10	PBK	1.08631735446629e-11	-2.07783825604435
ENSG00000168298.7	H1-4	1.83028171797236e-14	3.31338933886899
ENSG00000170390.16	DCLK2	2.85700203117348e-22	2.29345368023868
ENSG00000171174.15	RBKS	2.66661222657968e-07	-2.22602266049149
ENSG00000171241.9	SHCBP1	3.50613231658405e-13	-2.07798911405581
ENSG00000171320.15	ESCO2	1.34555287783083e-13	-3.01250718191461
ENSG00000171848.16	RRM2	1.64003592518265e-30	-3.8444863890837
ENSG00000172201.12	ID4	3.59252589955839e-24	-2.23252614341611
ENSG00000172260.15	NEGR1	1.01491901215925e-26	-2.0632322885655
ENSG00000172508.11	CARNS1	4.19700040379014e-14	-2.2595683572847
ENSG00000173705.9	SUSD5	6.30654975718779e-29	-2.22468937178392
ENSG00000174059.17	CD34	0.000287937700574733	2.14512309265153
ENSG00000174371.17	EXO1	3.11692547995957e-17	-2.80704919037774
ENSG00000175305.18	CCNE2	4.78063476182867e-09	-2.24431497716167
ENSG00000175395.16	ZNF25	7.05905643312943e-09	-2.24272638877047
ENSG00000175567.11	UCP2	1.11061063923692e-46	-2.31345962757333
ENSG00000176170.14	SPHK1	7.61516845346375e-47	2.36506537183415
ENSG00000176623.12	RMDN1	6.2569295930381e-27	-2.2068125965443
ENSG00000176890.16	TYMS	3.7098057928575e-28	-2.33450230571726
ENSG00000177234.7	LINC01561	1.27120307145018e-15	2.00683635570573
ENSG00000178035.13	IMPDH2	3.72554114414179e-21	2.01282857608107
ENSG00000178573.7	MAF	1.9281735552198e-22	2.63362540824576
ENSG00000180573.10	H2AC6	3.12646327520639e-46	2.8550348988884
ENSG00000180596.8	H2BC4	6.28705014987169e-11	2.63807789316599
ENSG00000182054.10	IDH2	1.28432663626404e-24	-2.28175682572909
ENSG00000182108.11	DEXI	3.06256684741632e-10	2.03073916924495
ENSG00000182795.13	C1orf116	1.31357259097809e-07	2.12731660038574
ENSG00000182836.10	PLCXD3	3.09848598109794e-05	2.13788483392575
ENSG00000183691.6	NOG	6.09817077280955e-15	2.16360514404602
ENSG00000184164.15	CRELD2	1.62133083210029e-35	-2.37207242268057
ENSG00000184445.12	KNTC1	5.90029138972797e-17	-2.40116383259655
ENSG00000184678.11	H2BC21	2.5939155346896e-17	2.36754006706495
ENSG00000184697.7	CLDN6	3.50224523340662e-07	2.65611099809459
ENSG00000185507.21	IRF7	9.66704850245129e-57	3.04255869834987
ENSG00000185745.10	IFIT1	2.19537721533919e-122	4.92940552013528
ENSG00000185875.13	THNSL1	5.05638557123795e-09	-2.04488162484012
ENSG00000186088.16	GSAP	3.87990214901458e-17	-2.0341272322714
ENSG00000186472.20	PCLO	1.07227698691144e-17	-2.06133684970914
ENSG00000186687.16	LYRM7	2.19393052538557e-19	-2.32619431803834
ENSG00000187608.10	ISG15	1.65822967889299e-94	3.91482426767293
ENSG00000188313.13	PLSCR1	3.68323050233129e-47	2.07346746201507
ENSG00000189057.11	FAM111B	1.6648671793704e-10	-2.42169827678116
ENSG00000196154.12	S100A4	1.99762211525514e-06	2.01816820371231
ENSG00000196584.4	XRCC2	4.49894407541811e-16	-2.18943569082729
ENSG00000197299.13	BLM	1.00248441112874e-09	-2.3043404961015
ENSG00000197565.17	COL4A6	4.9889133991023e-09	-2.1356987158023
ENSG00000198056.16	PRIM1	1.0979674871602e-09	-2.15587724718702
ENSG00000198919.13	DZIP3	1.05562991362652e-21	-2.93035361261906
ENSG00000213144.2	NA	1.02728545756696e-13	2.31171382582075
ENSG00000213638.6	ADAT3	2.83211469101791e-14	2.06187970020327
ENSG00000213694.7	S1PR3	1.92925966731849e-09	2.19506089291809
ENSG00000213963.7	LOC100130691	1.49611869577209e-08	-2.16613960384117
ENSG00000214050.8	FBXO16	1.97020355868594e-06	-2.24537307449171
ENSG00000223855.4	PDGFA-DT	1.61703956124074e-06	2.47102061627557
ENSG00000225190.12	PLEKHM1	1.03953615987425e-51	2.03801165092446
ENSG00000228716.7	DHFR	2.56156420142917e-15	-2.49532850314883
ENSG00000229953.1	NA	6.95707321857877e-11	-2.24037662603543
ENSG00000232533.3	NA	4.56902947266048e-37	2.33979446447811
ENSG00000233452.9	STXBP5-AS1	9.69160803270611e-19	-2.79149404494213
ENSG00000234494.8	SP2-AS1	1.60494419634568e-10	-2.5476823811699
ENSG00000240875.6	LINC00886	7.68762533049474e-05	-2.20978606620125
ENSG00000243742.6	RPLP0P2	4.80411349911935e-11	2.20261663964071
ENSG00000244242.2	IFITM10	1.29468188692342e-17	3.62944052524615
ENSG00000247095.5	MIR210HG	2.25763914907023e-17	-2.4356600560769
ENSG00000248587.8	NA	6.26620952540031e-05	-2.16003863262637
ENSG00000250903.11	GMDS-DT	1.07064560839003e-09	-2.09429049092938
ENSG00000254300.1	LINC01111	2.27364117884947e-07	-2.23633296309819
ENSG00000254842.6	NA	8.32186739301404e-09	2.17292009166453
ENSG00000256043.5	CTSO	4.95752548834453e-17	-2.31870797329853
ENSG00000261924.1	LOC400627	5.29807781019723e-05	2.04414670619147
ENSG00000265972.6	TXNIP	6.77894230749255e-14	-2.56792568402101
ENSG00000267898.1	NA	6.54590581717182e-05	2.54552279946327
ENSG00000268621.6	IGFL2-AS1	1.28679035843036e-16	3.2141879906909
ENSG00000268879.1	NA	2.82086651594801e-06	3.40395850699717
ENSG00000273802.3	H2BC8	9.3586305347147e-06	2.12250462876955
ENSG00000275216.2	NA	5.72702008041614e-24	3.09699116462524
ENSG00000276966.3	H4C5	5.45148343331883e-05	2.10249768303146
ENSG00000279641.1	NA	1.826281523114e-06	3.10152282160884
ENSG00000280128.1	NA	3.96853488239944e-24	-2.27102137947167
ENSG00000280351.2	NA	5.75242281745115e-07	2.39842846742962
ENSG00000285872.3	LOC101929691	0.000659445933007772	2.02150378617634
ENSG00000286034.1	NA	8.20441128010285e-14	-2.778897543866
ENSG00000288559.1	NA	2.48407517622476e-08	2.3462597720304
ENSG00000289117.2	NA	2.87870311181482e-05	3.18777591094032
ENSG00000290994.1	FAM86C2P	9.65521101040392e-10	-2.15532425069908
ENSG00000291049.1	FAM86B3P	2.2865247982649e-07	-2.26052464455194
